4-BLOCK POLYMER,HSE Band Gap (eV)
CH2-CO-NH-CS,3.06
CH2-CS-C6H4-O,2.531
C6H4-C6H4-C4H2S-CS,1.7990000000000002
CO-O-C4H2S-CS,2.25
C6H4-CS-C4H2S-O,2.522
CO-C6H4-O-CS,2.3080000000000003
C6H4-O-CS-C4H2S,2.238
C6H4-C4H2S-C6H4-C4H2S,2.3280000000000003
NH-C4H2S-CO-C4H2S,1.858
CH2-NH-C4H2S-CS,1.828
NH-C6H4-CO-C6H4,3.743
NH-CO-CS-C4H2S,1.43
C6H4-CS-C4H2S-CS,1.384
CH2-C4H2S-NH-C4H2S,3.712
CH2-C4H2S-C6H4-C4H2S,2.599
CH2-NH-C6H4-CO,3.338
CO-C6H4-C4H2S-CS,2.222
C6H4-C6H4-CS-O,2.959
CH2-NH-C4H2S-C6H4,3.4530000000000003
NH-C4H2S-C4H2S-CH2,2.893
CH2-C4H2S-C6H4-CS,2.142
CH2-NH-CS-C6H4,3.225
CH2-C6H4-C4H2S-C6H4,3.024
NH-CO-C4H2S-C6H4,2.418
NH-CO-CS-CO,1.615
CO-C6H4-C6H4-C6H4,2.91
CH2-CH2-C4H2S-O,4.261
CH2-CO-C4H2S-CS,2.495
C4H2S-C4H2S-C4H2S-O,2.061
CO-C4H2S-C6H4-CS,1.98
CH2-C6H4-NH-O,4.515
NH-CS-NH-CS,2.246
NH-C4H2S-C4H2S-CO,1.887
CH2-C4H2S-CS-O,2.633
NH-CO-C4H2S-O,3.402
CH2-C4H2S-C6H4-O,3.072
C6H4-C6H4-C6H4-C4H2S,2.166
NH-C6H4-CO-O,3.894
NH-C4H2S-CO-O,2.482
NH-CS-NH-C6H4,2.9130000000000003
CO-CS-O-CS,1.744
CH2-NH-CH2-CS,2.382
CH2-CH2-NH-C6H4,3.829
C4H2S-C4H2S-C4H2S-CS,0.935
CH2-C6H4-C6H4-O,4.033
CH2-CO-C6H4-CS,2.597
CO-C6H4-C6H4-CS,2.242
CH2-CH2-CH2-CS,2.942
CH2-C6H4-CH2-O,5.035
CH2-O-CO-O,7.701
NH-C6H4-CS-C6H4,1.983
CH2-CO-C6H4-O,3.961
CH2-NH-C4H2S-NH,3.717
CH2-C6H4-CO-O,4.206
NH-C4H2S-NH-CS,2.257
CO-C6H4-C4H2S-O,3.092
NH-C4H2S-O-C4H2S,3.981
CH2-NH-CH2-CO,3.986
NH-CO-NH-C6H4,3.609
CH2-C6H4-NH-CS,3.828
CH2-CH2-CH2-O,7.187
NH-C6H4-C6H4-O,3.498
CH2-C4H2S-NH-CS,3.004
CH2-C6H4-O-C4H2S,4.298
CH2-CH2-CO-C6H4,3.893
CO-C4H2S-C4H2S-CS,1.7280000000000002
CH2-C6H4-O-C6H4,4.416
CO-C4H2S-C6H4-O,2.323
CO-C4H2S-CO-O,3.471
CH2-O-C4H2S-C6H4,3.574
CH2-C4H2S-CO-C4H2S,2.891
CO-C6H4-CO-O,3.676
CH2-CH2-CO-C4H2S,3.446
CH2-CO-CS-C6H4,2.526
CH2-CS-CO-O,2.388
NH-C4H2S-NH-C4H2S,3.606
C6H4-CS-C6H4-CS,2.041
CH2-C6H4-CH2-C6H4,4.782
CH2-C4H2S-O-CS,3.267
CH2-CH2-NH-C4H2S,3.83
CH2-CH2-CO-O,6.837999999999999
CH2-CO-CS-C4H2S,2.385
CH2-C6H4-CH2-CS,3.0780000000000003
CH2-C6H4-NH-C6H4,3.908
C6H4-C4H2S-C6H4-O,2.267
C6H4-C4H2S-O-CS,2.376
CH2-C4H2S-C4H2S-CS,1.997
CH2-CO-CH2-O,5.0139999999999985
C6H4-C4H2S-C4H2S-C4H2S,1.289
CH2-CO-C6H4-C4H2S,2.939
NH-CO-O-C4H2S,3.488
CH2-C4H2S-CO-O,3.913
CH2-CS-C6H4-NH,2.248
CO-O-C6H4-CS,2.526
NH-CO-C4H2S-CS,2.337
NH-CO-O-CS,2.833
CH2-NH-CS-CO,2.287
CH2-CO-C4H2S-O,3.279
CH2-CH2-C6H4-O,4.275
CO-C6H4-CO-C6H4,3.3080000000000003
CH2-C4H2S-CH2-O,2.9330000000000003
CH2-NH-C4H2S-CO,2.721
CH2-NH-C6H4-NH,3.663
NH-CS-O-CS,2.999
CH2-C6H4-O-CS,3.891
NH-CS-C4H2S-O,2.443
CO-C6H4-C6H4-O,3.337
CH2-NH-CH2-C4H2S,4.2360000000000015
C4H2S-CS-O-CS,1.917
CO-C4H2S-C4H2S-C4H2S,1.264
NH-O-CS-O,4.235
CH2-NH-CH2-NH,6.12
C6H4-CS-C4H2S-C4H2S,1.39
NH-CO-C6H4-CS,2.5660000000000003
NH-CO-NH-CO,4.17
C4H2S-C4H2S-O-CS,2.1
CO-O-C4H2S-O,3.921
CH2-O-C4H2S-O,4.494
NH-O-CO-O,5.547999999999999
CH2-CO-O-CS,3.792
CH2-O-C6H4-O,4.25
NH-C6H4-NH-O,3.651
CH2-CH2-C6H4-C4H2S,3.076
NH-C4H2S-CS-O,2.674
C6H4-C6H4-C4H2S-C4H2S,1.507
NH-C4H2S-C6H4-C4H2S,1.886
CO-C4H2S-C4H2S-O,2.423
NH-C4H2S-CO-CS,1.744
NH-C4H2S-C4H2S-C4H2S,1.754
CH2-CH2-CH2-C6H4,4.907
NH-C4H2S-O-CS,2.678
CH2-NH-CS-O,4.13
CH2-CO-O-C4H2S,4.409
CO-C6H4-CS-C6H4,1.987
NH-CS-C4H2S-CS,1.834
NH-CO-C6H4-C4H2S,2.391
NH-C4H2S-CS-C4H2S,1.966
C6H4-C4H2S-O-C4H2S,2.339
C6H4-C6H4-C6H4-CS,2.037
CH2-C4H2S-CH2-C4H2S,4.288
CO-CS-CO-O,1.798
CO-C6H4-C4H2S-C6H4,2.0380000000000003
CH2-NH-CH2-C6H4,4.627
CH2-O-CH2-O,7.127000000000002
CO-C6H4-C4H2S-C4H2S,2.262
CH2-CO-CS-O,2.245
CH2-CO-CS-CO,1.67
CH2-NH-C6H4-C4H2S,3.263
NH-CS-C6H4-CS,1.928
NH-C6H4-C6H4-CH2,3.488
NH-CO-NH-CS,2.298
NH-C4H2S-C4H2S-CS,1.681
NH-C6H4-NH-C6H4,2.518
NH-C6H4-NH-C4H2S,2.885
CH2-C6H4-C6H4-C4H2S,3.025
CH2-C4H2S-CS-C4H2S,2.3480000000000003
CO-NH-CO-C6H4,2.1630000000000003
CH2-CS-CO-CS,1.276
CH2-CH2-NH-CS,3.899
CH2-CO-NH-C4H2S,4.115
CH2-CH2-CO-CS,1.993
NH-C6H4-C6H4-C4H2S,2.023
CH2-C6H4-C4H2S-CS,2.19
C6H4-O-CS-O,4.322
CH2-O-NH-CO,5.702000000000001
NH-C6H4-C4H2S-C6H4,1.842
NH-C6H4-O-C4H2S,3.555
CH2-NH-C6H4-O,3.901
C6H4-C6H4-C6H4-C6H4,2.753
CH2-CO-NH-C6H4,4.099
CH2-CH2-CH2-CH2,8.606
NH-CO-C6H4-C6H4,2.593
NH-CO-CS-C6H4,1.989
CO-C6H4-CS-C4H2S,2.048
CH2-CO-CH2-CO,4.941
NH-CO-C4H2S-CO,3.022
CO-C6H4-CO-C4H2S,2.889
CH2-C6H4-CO-CS,2.705
CH2-CH2-C6H4-CS,2.81
NH-C4H2S-C6H4-CS,2.524
CH2-NH-O-C6H4,4.369
CH2-C6H4-C6H4-C6H4,3.591
CH2-O-NH-O,5.688
CH2-CH2-C4H2S-CS,2.492
NH-CO-NH-C4H2S,3.321
NH-CO-NH-O,5.1370000000000005
CO-C6H4-CS-O,2.86
CH2-CH2-O-NH,6.013
CH2-CO-CH2-C4H2S,3.997
C6H4-O-C6H4-O,3.911
CH2-O-CS-O,4.104
NH-CO-C6H4-O,3.985
C4H2S-O-C4H2S-O,4.185
CH2-C4H2S-O-C4H2S,4.357
CH2-CO-C4H2S-C6H4,3.1
CH2-CO-C6H4-CO,3.49
NH-C4H2S-C4H2S-O,2.012
CH2-CH2-C4H2S-C4H2S,2.79
NH-C6H4-C6H4-C6H4,2.829
C6H4-CS-O-CS,2.511
CO-C4H2S-CS-O,2.624
NH-C6H4-C4H2S-C4H2S,1.803
CH2-CH2-CH2-NH,6.165
CH2-CO-NH-CO,4.993
NH-CS-C6H4-O,2.884
CO-C4H2S-CO-C4H2S,2.303
CH2-C4H2S-CO-CS,2.801
CH2-CO-O-C6H4,4.907
C4H2S-C4H2S-C4H2S-C4H2S,1.023
CO-C6H4-O-C6H4,3.45
CH2-CH2-CH2-C4H2S,4.257
NH-CO-O-C6H4,3.81
C6H4-C4H2S-C4H2S-O,2.234
CH2-CO-C4H2S-C4H2S,2.4330000000000003
CH2-CO-CH2-CS,3.159
NH-C6H4-C4H2S-CS,1.939
CH2-C4H2S-C4H2S-C4H2S,2.297
NH-C6H4-CS-O,1.401
NH-C6H4-CO-C4H2S,2.569
CO-C4H2S-CO-CS,1.535
NH-CS-CO-O,2.218
C6H4-C6H4-C4H2S-O,2.516
CH2-CO-C4H2S-CO,3.342
CH2-NH-CO-C4H2S,4.027
CH2-C6H4-C6H4-CS,2.574
CH2-C6H4-NH-C4H2S,3.559
C6H4-C4H2S-C6H4-CS,1.975
CH2-C6H4-CS-C4H2S,2.556
C6H4-C4H2S-CS-C4H2S,1.26
C4H2S-O-CS-O,3.132
CH2-CS-NH-O,4.301
CH2-C6H4-CH2-C4H2S,4.155
CO-O-CS-O,4.009
NH-C6H4-O-C6H4,3.4330000000000003
CH2-C6H4-CO-C6H4,4.044
NH-CO-O-CO,5.306
CO-C4H2S-CS-C4H2S,1.727
CH2-CS-O-CS,3.032
CO-C4H2S-O-C4H2S,2.928
C6H4-CS-C6H4-O,2.21
NH-O-C6H4-O,4.134
CH2-CO-CH2-C6H4,3.997
CH2-NH-O-CS,3.849
CH2-NH-C4H2S-O,3.722
CH2-CS-C4H2S-CS,1.835
CO-C6H4-CO-CS,1.976
CH2-CH2-CH2-CO,5.3210000000000015
CH2-CO-C6H4-C6H4,3.369
CH2-CH2-CS-O,3.768
CH2-NH-O-C4H2S,4.134
C6H4-C6H4-C6H4-O,3.592
NH-C6H4-CO-CS,2.111
CH2-CH2-C6H4-C6H4,3.857
CH2-CS-CH2-CS,2.708
NH-C6H4-C6H4-CS,2.6910000000000003
CH2-NH-O-NH,5.3
