6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Formation Energy
(eV/atom)"
AgI-AgI-AgI-AgI-AgI-AgI,-0.239
AgI-AgI-AgI-AgI-AgI-CdTe,-0.214
AgI-AgI-AgI-AgI-AgI-InSb,-0.11199999999999999
AgI-AgI-AgI-AgI-CdTe-CdTe,-0.215
AgI-AgI-AgI-InSb-InSb-InSb,-0.022000000000000002
AgI-AgI-CdTe-CdTe-CdTe-CdTe,-0.264
AgI-AgI-CdTe-CdTe-InSb-InSb,-0.096
AgI-AgI-CdTe-InSb-InSb-InSb,-0.033
AgI-AgI-InSb-InSb-InSb-InSb,-0.006
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,-0.305
AgI-CdTe-CdTe-InSb-InSb-InSb,-0.07200000000000001
AgI-CdTe-InSb-InSb-InSb-InSb,-0.013000000000000001
AgI-InSb-InSb-InSb-InSb-InSb,0.02
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,-0.473
AlAs-AlAs-AlAs-AlAs-CdS-CdS,-0.41600000000000004
AlAs-AlAs-AlAs-AlAs-CuBr-CuBr,-0.191
AlAs-AlAs-AlAs-AlAs-CuBr-ZnSe,-0.281
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,-0.379
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,-0.4370000000000001
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,-0.46299999999999997
AlAs-AlAs-AlAs-CdS-CdS-CdS,-0.424
AlAs-AlAs-AlAs-CuBr-CuBr-CuBr,-0.114
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,-0.175
AlAs-AlAs-AlAs-CuBr-CuBr-ZnSe,-0.21
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,-0.21600000000000005
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,-0.253
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,-0.313
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,-0.401
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,-0.423
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,-0.48
AlAs-AlAs-CdS-CdS-CdS-CdS,-0.441
AlAs-AlAs-CuBr-CuBr-CuBr-GaAs,-0.098
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,-0.138
AlAs-AlAs-CuBr-CuBr-ZnSe-ZnSe,-0.264
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,-0.217
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,-0.353
AlAs-AlAs-GaAs-GaAs-CdS-CdS,-0.344
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,-0.308
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,-0.364
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,-0.34600000000000003
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,-0.444
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,-0.511
AlAs-CdS-CdS-CdS-CdS-CdS,-0.473
AlAs-CuBr-CuBr-CuBr-CuBr-CuBr,0.025
AlAs-CuBr-CuBr-CuBr-CuBr-GaAs,-0.036000000000000004
AlAs-CuBr-CuBr-CuBr-CuBr-ZnSe,-0.076
AlAs-CuBr-CuBr-CuBr-GaAs-GaAs,-0.06
AlAs-CuBr-CuBr-CuBr-ZnSe-GaAs,-0.094
AlAs-CuBr-CuBr-CuBr-ZnSe-ZnSe,-0.182
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,-0.106
AlAs-CuBr-CuBr-ZnSe-ZnSe-GaAs,-0.239
AlAs-CuBr-CuBr-ZnSe-ZnSe-ZnSe,-0.293
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,-0.146
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,-0.183
AlAs-CuBr-ZnSe-ZnSe-GaAs-GaAs,-0.251
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,-0.327
AlAs-GaAs-CdS-CdS-CdS-CdS,-0.405
AlAs-GaAs-GaAs-CdS-CdS-CdS,-0.354
AlAs-GaAs-GaAs-GaAs-CdS-CdS,-0.309
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,-0.273
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,-0.32799999999999996
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,-0.31
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,-0.35200000000000004
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,-0.409
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,-0.47600000000000003
AlN-AlN-AlN-AlN-AlN-AlN,-1.462
AlN-AlN-AlN-AlN-AlN-SiC,-1.082
AlN-AlN-AlN-AlN-SiC-SiC,-0.8240000000000001
AlN-AlN-SiC-SiC-SiC-SiC,-0.39799999999999996
AlN-SiC-SiC-SiC-SiC-SiC,-0.21100000000000002
AlP-AlP-AlP-AlP-AlP-AlP,-0.628
AlP-AlP-AlP-AlP-AlP-GaP,-0.58
AlP-AlP-AlP-AlP-AlP-ZnS,-0.569
AlP-AlP-AlP-AlP-AlP-ZnSe,-0.556
AlP-AlP-AlP-AlP-CuBr-CuBr,-0.18600000000000005
AlP-AlP-AlP-AlP-CuBr-GaP,-0.319
AlP-AlP-AlP-AlP-GaP-GaP,-0.532
AlP-AlP-AlP-AlP-ZnS-GaP,-0.502
AlP-AlP-AlP-AlP-ZnSe-GaP,-0.501
AlP-AlP-AlP-AlP-ZnSe-ZnSe,-0.526
AlP-AlP-AlP-CuBr-CuBr-GaP,-0.218
AlP-AlP-AlP-CuBr-CuBr-ZnSe,-0.259
AlP-AlP-AlP-CuBr-GaP-GaP,-0.272
AlP-AlP-AlP-CuBr-ZnSe-GaP,-0.307
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,-0.35200000000000004
AlP-AlP-AlP-GaP-GaP-GaP,-0.484
AlP-AlP-AlP-ZnS-GaP-GaP,-0.455
AlP-AlP-AlP-ZnS-ZnS-GaP,-0.5
AlP-AlP-CuBr-CuBr-CuBr-CuBr,-0.012
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,-0.17
AlP-AlP-CuBr-CuBr-GaP-GaP,-0.171
AlP-AlP-CuBr-CuBr-ZnSe-GaP,-0.204
AlP-AlP-CuBr-CuBr-ZnSe-ZnSe,-0.252
AlP-AlP-CuBr-ZnSe-GaP-GaP,-0.259
AlP-AlP-GaP-GaP-GaP-GaP,-0.436
AlP-AlP-ZnS-GaP-GaP-GaP,-0.40700000000000003
AlP-AlP-ZnS-ZnS-GaP-GaP,-0.452
AlP-AlP-ZnS-ZnS-ZnS-GaP,-0.515
AlP-AlP-ZnS-ZnS-ZnS-ZnS,-0.596
AlP-AlP-ZnSe-GaP-GaP-GaP,-0.406
AlP-AlP-ZnSe-ZnSe-GaP-GaP,-0.429
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,-0.475
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,-0.5329999999999999
AlP-CuBr-CuBr-CuBr-CuBr-CuBr,0.021
AlP-CuBr-CuBr-CuBr-CuBr-GaP,-0.035
AlP-CuBr-CuBr-CuBr-CuBr-ZnSe,-0.087
AlP-CuBr-CuBr-CuBr-GaP-GaP,-0.075
AlP-CuBr-CuBr-CuBr-ZnSe-GaP,-0.111
AlP-CuBr-CuBr-GaP-GaP-GaP,-0.126
AlP-CuBr-CuBr-ZnSe-GaP-GaP,-0.158
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,-0.272
AlP-CuBr-CuBr-ZnSe-ZnSe-ZnSe,-0.35
AlP-CuBr-GaP-GaP-GaP-GaP,-0.179
AlP-CuBr-ZnSe-GaP-GaP-GaP,-0.214
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,-0.341
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,-0.423
AlP-GaP-GaP-GaP-GaP-GaP,-0.389
AlP-ZnS-ZnS-ZnS-GaP-GaP,-0.46799999999999997
AlP-ZnS-ZnS-ZnS-ZnS-GaP,-0.542
AlP-ZnSe-GaP-GaP-GaP-GaP,-0.359
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,-0.429
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,-0.4920000000000001
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,-0.5760000000000001
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,-0.187
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,-0.168
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,-0.17300000000000001
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,-0.17600000000000002
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,-0.228
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,-0.174
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,-0.155
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,-0.161
AlSb-AlSb-AlSb-AlSb-InAs-InAs,-0.174
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,-0.203
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,-0.16699999999999998
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,-0.18100000000000002
AlSb-AlSb-AlSb-CdSe-CdSe-CdSe,-0.29100000000000004
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,-0.214
AlSb-AlSb-AlSb-GaSb-CdSe-InAs,-0.16
AlSb-AlSb-AlSb-GaSb-GaSb-CdSe,-0.142
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,-0.146
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,-0.14800000000000002
AlSb-AlSb-AlSb-GaSb-InAs-InAs,-0.16
AlSb-AlSb-AlSb-InAs-InAs-InAs,-0.17300000000000001
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,-0.209
AlSb-AlSb-AlSb-ZnTe-GaSb-InAs,-0.132
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,-0.23600000000000002
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,-0.168
AlSb-AlSb-AlSb-ZnTe-ZnTe-ZnTe,-0.213
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,-0.35700000000000004
AlSb-AlSb-CdSe-CdSe-InAs-InAs,-0.23199999999999998
AlSb-AlSb-CdSe-InAs-InAs-InAs,-0.171
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,-0.278
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,-0.22
AlSb-AlSb-GaSb-CdSe-InAs-InAs,-0.159
AlSb-AlSb-GaSb-GaSb-CdSe-InAs,-0.11900000000000001
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,-0.129
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,-0.133
AlSb-AlSb-GaSb-GaSb-GaSb-InAs,-0.135
AlSb-AlSb-GaSb-GaSb-InAs-InAs,-0.147
AlSb-AlSb-GaSb-InAs-InAs-InAs,-0.159
AlSb-AlSb-InAs-InAs-InAs-InAs,-0.172
AlSb-AlSb-ZnTe-CdSe-CdSe-CdSe,-0.33299999999999996
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,-0.201
AlSb-AlSb-ZnTe-GaSb-CdSe-InAs,-0.14400000000000002
AlSb-AlSb-ZnTe-GaSb-GaSb-CdSe,-0.12300000000000001
AlSb-AlSb-ZnTe-GaSb-GaSb-GaSb,-0.11800000000000001
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,-0.11900000000000001
AlSb-AlSb-ZnTe-InAs-InAs-InAs,-0.165
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,-0.303
AlSb-AlSb-ZnTe-ZnTe-CdSe-InAs,-0.243
AlSb-AlSb-ZnTe-ZnTe-GaSb-CdSe,-0.166
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,-0.154
AlSb-AlSb-ZnTe-ZnTe-InAs-InAs,-0.184
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,-0.20199999999999999
AlSb-AlSb-ZnTe-ZnTe-ZnTe-InAs,-0.218
AlSb-AlSb-ZnTe-ZnTe-ZnTe-ZnTe,-0.253
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,-0.428
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,-0.364
AlSb-CdSe-CdSe-CdSe-InAs-InAs,-0.295
AlSb-CdSe-InAs-InAs-InAs-InAs,-0.17
AlSb-GaSb-CdSe-CdSe-CdSe-CdSe,-0.34299999999999997
AlSb-GaSb-CdSe-CdSe-CdSe-InAs,-0.284
AlSb-GaSb-CdSe-CdSe-InAs-InAs,-0.218
AlSb-GaSb-GaSb-CdSe-CdSe-CdSe,-0.265
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,-0.20800000000000002
AlSb-GaSb-GaSb-CdSe-InAs-InAs,-0.147
AlSb-GaSb-GaSb-GaSb-CdSe-CdSe,-0.18899999999999997
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,-0.135
AlSb-GaSb-GaSb-GaSb-GaSb-CdSe,-0.11599999999999999
AlSb-GaSb-GaSb-GaSb-GaSb-GaSb,-0.12
AlSb-GaSb-GaSb-GaSb-GaSb-InAs,-0.122
AlSb-GaSb-GaSb-InAs-InAs-InAs,-0.132
AlSb-GaSb-InAs-InAs-InAs-InAs,-0.158
AlSb-InAs-InAs-InAs-InAs-InAs,-0.171
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,-0.41200000000000003
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,-0.341
AlSb-ZnTe-CdSe-CdSe-InAs-InAs,-0.26899999999999996
AlSb-ZnTe-CdSe-InAs-InAs-InAs,-0.204
AlSb-ZnTe-GaSb-CdSe-CdSe-CdSe,-0.27399999999999997
AlSb-ZnTe-GaSb-CdSe-CdSe-InAs,-0.20800000000000002
AlSb-ZnTe-GaSb-GaSb-CdSe-InAs,-0.131
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,-0.106
AlSb-ZnTe-GaSb-GaSb-GaSb-InAs,-0.106
AlSb-ZnTe-GaSb-GaSb-InAs-InAs,-0.11699999999999999
AlSb-ZnTe-GaSb-InAs-InAs-InAs,-0.10300000000000001
AlSb-ZnTe-ZnTe-CdSe-CdSe-CdSe,-0.382
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,-0.239
AlSb-ZnTe-ZnTe-GaSb-CdSe-InAs,-0.174
AlSb-ZnTe-ZnTe-GaSb-GaSb-CdSe,-0.158
AlSb-ZnTe-ZnTe-GaSb-InAs-InAs,-0.154
AlSb-ZnTe-ZnTe-InAs-InAs-InAs,-0.183
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,-0.28300000000000003
AlSb-ZnTe-ZnTe-ZnTe-GaSb-CdSe,-0.21
AlSb-ZnTe-ZnTe-ZnTe-GaSb-GaSb,-0.18899999999999997
AlSb-ZnTe-ZnTe-ZnTe-GaSb-InAs,-0.18899999999999997
AlSb-ZnTe-ZnTe-ZnTe-InAs-InAs,-0.217
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,-0.326
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,-0.242
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,-0.259
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,-0.308
BAs-BAs-BAs-BAs-BAs-BAs,-0.035
BeS-BeS-BeS-BeS-BAs-BAs,-0.506
BeS-BeS-BeS-BeS-BeS-BAs,-0.696
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,-0.828
BeSe-BeSe-BeSe-BeSe-BeSe-CuCl,-0.573
BeSe-BeSe-BeSe-BeSe-BeSe-InN,-0.469
BeSe-BeSe-BeSe-BeSe-CuCl-CuCl,-0.4970000000000001
BeSe-BeSe-BeSe-BeSe-InN-InN,-0.284
BeSe-BeSe-BeSe-CuCl-CuCl-CuCl,-0.33899999999999997
BeSe-BeSe-BeSe-InN-InN-InN,-0.10300000000000001
BeSe-BeSe-CuCl-CuCl-CuCl-CuCl,-0.242
BeSe-BeSe-InN-InN-InN-InN,-0.09699999999999999
BeSe-CuCl-CuCl-CuCl-CuCl-CuCl,-0.171
BeSe-InN-InN-InN-InN-InN,0.163
BeTe-AlAs-AlAs-AlAs-AlAs-AlAs,-0.406
BeTe-AlAs-AlAs-AlAs-AlAs-CuBr,-0.18100000000000002
BeTe-AlAs-AlAs-AlAs-AlAs-ZnSe,-0.391
BeTe-AlAs-AlAs-AlAs-CuBr-CuBr,-0.132
BeTe-AlAs-AlAs-AlAs-CuBr-ZnSe,-0.235
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,-0.332
BeTe-AlAs-AlAs-AlAs-ZnSe-GaAs,-0.337
BeTe-AlAs-AlAs-AlAs-ZnSe-ZnSe,-0.406
BeTe-AlAs-AlAs-CuBr-CuBr-CuBr,-0.073
BeTe-AlAs-AlAs-CuBr-CuBr-GaAs,-0.096
BeTe-AlAs-AlAs-CuBr-CuBr-ZnSe,-0.196
BeTe-AlAs-AlAs-CuBr-GaAs-GaAs,-0.133
BeTe-AlAs-AlAs-CuBr-ZnSe-ZnSe,-0.282
BeTe-AlAs-AlAs-GaAs-GaAs-GaAs,-0.29600000000000004
BeTe-AlAs-AlAs-ZnSe-GaAs-GaAs,-0.299
BeTe-AlAs-AlAs-ZnSe-ZnSe-GaAs,-0.358
BeTe-AlAs-AlAs-ZnSe-ZnSe-ZnSe,-0.439
BeTe-AlAs-CuBr-CuBr-CuBr-CuBr,0.015
BeTe-AlAs-CuBr-CuBr-CuBr-ZnSe,-0.11800000000000001
BeTe-AlAs-CuBr-CuBr-ZnSe-GaAs,-0.16
BeTe-AlAs-CuBr-GaAs-GaAs-GaAs,-0.106
BeTe-AlAs-CuBr-ZnSe-GaAs-GaAs,-0.16
BeTe-AlAs-CuBr-ZnSe-ZnSe-GaAs,-0.248
BeTe-AlAs-CuBr-ZnSe-ZnSe-ZnSe,-0.35
BeTe-AlAs-GaAs-GaAs-GaAs-GaAs,-0.261
BeTe-AlAs-ZnSe-GaAs-GaAs-GaAs,-0.267
BeTe-AlAs-ZnSe-ZnSe-GaAs-GaAs,-0.32299999999999995
BeTe-AlAs-ZnSe-ZnSe-ZnSe-GaAs,-0.4
BeTe-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,-0.495
BeTe-AlP-AlP-AlP-AlP-AlP,-0.495
BeTe-AlP-AlP-AlP-AlP-GaP,-0.444
BeTe-AlP-AlP-AlP-AlP-ZnSe,-0.498
BeTe-AlP-AlP-AlP-CuBr-CuBr,-0.126
BeTe-AlP-AlP-AlP-CuBr-GaP,-0.213
BeTe-AlP-AlP-AlP-ZnSe-GaP,-0.395
BeTe-AlP-AlP-AlP-ZnSe-ZnSe,-0.452
BeTe-AlP-AlP-CuBr-CuBr-CuBr,-0.036000000000000004
BeTe-AlP-AlP-CuBr-CuBr-GaP,-0.115
BeTe-AlP-AlP-CuBr-CuBr-ZnSe,-0.183
BeTe-AlP-AlP-CuBr-GaP-GaP,-0.161
BeTe-AlP-AlP-GaP-GaP-GaP,-0.349
BeTe-AlP-AlP-ZnSe-GaP-GaP,-0.34700000000000003
BeTe-AlP-AlP-ZnSe-ZnSe-GaP,-0.387
BeTe-AlP-CuBr-CuBr-CuBr-CuBr,0.009000000000000001
BeTe-AlP-CuBr-CuBr-CuBr-GaP,-0.043
BeTe-AlP-CuBr-CuBr-GaP-GaP,-0.07200000000000001
BeTe-AlP-CuBr-CuBr-ZnSe-GaP,-0.13699999999999998
BeTe-AlP-CuBr-CuBr-ZnSe-ZnSe,-0.24100000000000002
BeTe-AlP-CuBr-GaP-GaP-GaP,-0.121
BeTe-AlP-CuBr-ZnSe-GaP-GaP,-0.177
BeTe-AlP-CuBr-ZnSe-ZnSe-GaP,-0.257
BeTe-AlP-CuBr-ZnSe-ZnSe-ZnSe,-0.36
BeTe-AlP-GaP-GaP-GaP-GaP,-0.303
BeTe-AlP-ZnSe-GaP-GaP-GaP,-0.304
BeTe-AlP-ZnSe-ZnSe-GaP-GaP,-0.342
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,-0.41200000000000003
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,-0.511
BeTe-BeTe-AlAs-AlAs-AlAs-CuBr,-0.16699999999999998
BeTe-BeTe-AlAs-AlAs-AlAs-GaAs,-0.306
BeTe-BeTe-AlAs-AlAs-CuBr-CuBr,-0.127
BeTe-BeTe-AlAs-AlAs-CuBr-GaAs,-0.14300000000000002
BeTe-BeTe-AlAs-AlAs-CuBr-ZnSe,-0.23199999999999998
BeTe-BeTe-AlAs-AlAs-GaAs-GaAs,-0.271
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,-0.301
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,-0.391
BeTe-BeTe-AlAs-CuBr-CuBr-CuBr,-0.08900000000000001
BeTe-BeTe-AlAs-CuBr-CuBr-GaAs,-0.09300000000000001
BeTe-BeTe-AlAs-CuBr-CuBr-ZnSe,-0.192
BeTe-BeTe-AlAs-CuBr-GaAs-GaAs,-0.114
BeTe-BeTe-AlAs-CuBr-ZnSe-GaAs,-0.19399999999999998
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,-0.304
BeTe-BeTe-AlAs-GaAs-GaAs-GaAs,-0.237
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,-0.268
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,-0.34600000000000003
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,-0.44799999999999995
BeTe-BeTe-AlP-AlP-AlP-AlP,-0.40299999999999997
BeTe-BeTe-AlP-AlP-AlP-CuBr,-0.207
BeTe-BeTe-AlP-AlP-AlP-GaP,-0.354
BeTe-BeTe-AlP-AlP-AlP-ZnSe,-0.406
BeTe-BeTe-AlP-AlP-CuBr-CuBr,-0.11699999999999999
BeTe-BeTe-AlP-AlP-CuBr-GaP,-0.16399999999999998
BeTe-BeTe-AlP-AlP-CuBr-ZnSe,-0.257
BeTe-BeTe-AlP-AlP-ZnSe-GaP,-0.337
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,-0.419
BeTe-BeTe-AlP-CuBr-CuBr-GaP,-0.09699999999999999
BeTe-BeTe-AlP-CuBr-CuBr-ZnSe,-0.191
BeTe-BeTe-AlP-CuBr-GaP-GaP,-0.121
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,-0.204
BeTe-BeTe-AlP-CuBr-ZnSe-ZnSe,-0.314
BeTe-BeTe-AlP-GaP-GaP-GaP,-0.263
BeTe-BeTe-AlP-ZnSe-GaP-GaP,-0.294
