6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Formation Energy
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,-0.465
BeTe-BeTe-BeTe-AlAs-AlAs-AlAs,-0.308
BeTe-BeTe-BeTe-AlAs-AlAs-CuBr,-0.166
BeTe-BeTe-BeTe-AlAs-AlAs-GaAs,-0.276
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,-0.344
BeTe-BeTe-BeTe-AlAs-CuBr-CuBr,-0.14400000000000002
BeTe-BeTe-BeTe-AlAs-CuBr-GaAs,-0.156
BeTe-BeTe-BeTe-AlAs-CuBr-ZnSe,-0.254
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,-0.401
BeTe-BeTe-BeTe-AlP-AlP-AlP,-0.344
BeTe-BeTe-BeTe-AlP-AlP-CuBr,-0.19
BeTe-BeTe-BeTe-AlP-AlP-GaP,-0.299
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,-0.373
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,-0.171
BeTe-BeTe-BeTe-AlP-CuBr-GaP,-0.163
BeTe-BeTe-BeTe-AlP-CuBr-ZnSe,-0.267
BeTe-BeTe-BeTe-AlP-ZnSe-GaP,-0.318
BeTe-BeTe-BeTe-AlP-ZnSe-ZnSe,-0.42
BeTe-BeTe-BeTe-BeTe-AlAs-AlAs,-0.3
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,-0.18899999999999997
BeTe-BeTe-BeTe-BeTe-AlAs-ZnSe,-0.355
BeTe-BeTe-BeTe-BeTe-AlP-AlP,-0.318
BeTe-BeTe-BeTe-BeTe-AlP-GaP,-0.276
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,-0.374
BeTe-BeTe-BeTe-BeTe-BeTe-AlP,-0.326
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,-0.382
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,-0.21100000000000002
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,-0.301
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,-0.299
BeTe-BeTe-BeTe-BeTe-CuBr-CuBr,-0.145
BeTe-BeTe-BeTe-BeTe-CuBr-GaAs,-0.17600000000000002
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,-0.278
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,-0.249
BeTe-BeTe-BeTe-BeTe-GaP-GaP,-0.249
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,-0.33
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,-0.327
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,-0.449
BeTe-BeTe-BeTe-CuBr-CuBr-CuBr,-0.087
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,-0.11900000000000001
BeTe-BeTe-BeTe-CuBr-CuBr-GaP,-0.11199999999999999
BeTe-BeTe-BeTe-CuBr-CuBr-ZnSe,-0.21600000000000005
BeTe-BeTe-BeTe-CuBr-GaAs-GaAs,-0.131
BeTe-BeTe-BeTe-CuBr-GaP-GaP,-0.122
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,-0.204
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,-0.19899999999999998
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,-0.327
BeTe-BeTe-BeTe-GaAs-GaAs-GaAs,-0.221
BeTe-BeTe-BeTe-GaP-GaP-GaP,-0.228
BeTe-BeTe-BeTe-ZnSe-GaAs-GaAs,-0.27899999999999997
BeTe-BeTe-BeTe-ZnSe-GaP-GaP,-0.275
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,-0.376
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,-0.3720000000000001
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,-0.495
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,-0.035
BeTe-BeTe-CuBr-CuBr-CuBr-GaP,-0.055
BeTe-BeTe-CuBr-CuBr-CuBr-ZnSe,-0.159
BeTe-BeTe-CuBr-CuBr-GaP-GaP,-0.066
BeTe-BeTe-CuBr-CuBr-ZnSe-GaAs,-0.141
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,-0.264
BeTe-BeTe-CuBr-GaAs-GaAs-GaAs,-0.11199999999999999
BeTe-BeTe-CuBr-GaP-GaP-GaP,-0.10800000000000001
BeTe-BeTe-CuBr-ZnSe-GaP-GaP,-0.152
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaAs,-0.25
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,-0.244
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,-0.373
BeTe-BeTe-GaAs-GaAs-GaAs-GaAs,-0.212
BeTe-BeTe-GaP-GaP-GaP-GaP,-0.23
BeTe-BeTe-ZnSe-GaP-GaP-GaP,-0.253
BeTe-BeTe-ZnSe-ZnSe-GaP-GaP,-0.321
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,-0.42200000000000004
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaP,-0.418
BeTe-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,-0.541
BeTe-CuBr-CuBr-CuBr-CuBr-CuBr,-0.004
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,-0.011000000000000001
BeTe-CuBr-CuBr-CuBr-CuBr-ZnSe,-0.107
BeTe-CuBr-CuBr-CuBr-GaP-GaP,-0.015
BeTe-CuBr-CuBr-CuBr-ZnSe-GaAs,-0.086
BeTe-CuBr-CuBr-CuBr-ZnSe-GaP,-0.081
BeTe-CuBr-CuBr-CuBr-ZnSe-ZnSe,-0.20600000000000002
BeTe-CuBr-CuBr-GaAs-GaAs-GaAs,-0.061
BeTe-CuBr-CuBr-GaP-GaP-GaP,-0.06
BeTe-CuBr-CuBr-ZnSe-GaP-GaP,-0.10400000000000001
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaAs,-0.19
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaP,-0.183
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,-0.309
BeTe-CuBr-GaAs-GaAs-GaAs-GaAs,-0.102
BeTe-CuBr-ZnSe-GaP-GaP-GaP,-0.147
BeTe-CuBr-ZnSe-ZnSe-GaAs-GaAs,-0.204
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaAs,-0.302
BeTe-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,-0.419
BeTe-GaAs-GaAs-GaAs-GaAs-GaAs,-0.22899999999999998
BeTe-GaP-GaP-GaP-GaP-GaP,-0.266
BeTe-ZnSe-GaP-GaP-GaP-GaP,-0.253
BeTe-ZnSe-ZnSe-GaAs-GaAs-GaAs,-0.303
BeTe-ZnSe-ZnSe-GaP-GaP-GaP,-0.304
BeTe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,-0.376
BeTe-ZnSe-ZnSe-ZnSe-GaP-GaP,-0.3720000000000001
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,-0.47
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,-0.46399999999999997
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,-0.5870000000000001
BN-BN-BN-BN-BN-BN,-1.237
BP-BP-BP-BP-BP-BP,-0.41100000000000003
BP-BP-BP-BP-BP-GaN,-0.09699999999999999
BP-BP-BP-BP-BP-ZnO,-0.19399999999999998
BP-BP-BP-BP-GaN-GaN,-0.09699999999999999
BP-BP-BP-BP-ZnO-GaN,-0.24
BP-BP-BP-BP-ZnO-ZnO,-0.36
BP-BP-BP-ZnO-GaN-GaN,-0.242
BP-BP-BP-ZnO-ZnO-GaN,-0.405
BP-BP-BP-ZnO-ZnO-ZnO,-0.528
BP-BP-GaN-GaN-GaN-GaN,-0.111
BP-BP-ZnO-GaN-GaN-GaN,-0.24600000000000002
BP-BP-ZnO-ZnO-GaN-GaN,-0.408
BP-BP-ZnO-ZnO-ZnO-ZnO,-0.6970000000000001
BP-ZnO-GaN-GaN-GaN-GaN,-0.24600000000000002
BP-ZnO-ZnO-GaN-GaN-GaN,-0.41
BP-ZnO-ZnO-ZnO-GaN-GaN,-0.5760000000000001
BP-ZnO-ZnO-ZnO-ZnO-GaN,-0.743
BP-ZnO-ZnO-ZnO-ZnO-ZnO,-0.87
CdS-CdS-CdS-CdS-CdS-CdS,-0.575
CdS-CdS-CdS-CdS-CdS-InP,-0.43799999999999994
CdS-CdS-CdS-CdS-InP-InP,-0.34299999999999997
CdS-CdS-InP-InP-InP-InP,-0.196
CdS-InP-InP-InP-InP-InP,-0.142
CdSe-CdSe-CdSe-CdSe-CdSe-CdSe,-0.5710000000000001
CdSe-CdSe-CdSe-CdSe-CdSe-InP,-0.442
CdSe-CdSe-CdSe-CdSe-InAs-InAs,-0.365
CdSe-CdSe-CdSe-CdSe-InP-InP,-0.34299999999999997
CdSe-CdSe-CdSe-InP-InP-InP,-0.261
CdSe-CdSe-InAs-InAs-InAs-InAs,-0.23
CdSe-CdSe-InP-InP-InP-InP,-0.19399999999999998
CdSe-InAs-InAs-InAs-InAs-InAs,-0.18
CdSe-InP-InP-InP-InP-InP,-0.146
CdTe-CdTe-CdTe-CdTe-CdTe-CdTe,-0.39799999999999996
CdTe-InSb-InSb-InSb-InSb-InSb,-0.062
CuBr-CuBr-CuBr-CuBr-CuBr-GaAs,0.023
CuBr-CuBr-CuBr-CuBr-CuBr-GaP,0.023
CuBr-CuBr-CuBr-CuBr-GaAs-GaAs,0.013999999999999999
CuBr-CuBr-CuBr-CuBr-ZnSe-GaAs,-0.047
CuBr-CuBr-CuBr-CuBr-ZnSe-GaP,-0.05
CuBr-CuBr-CuBr-CuBr-ZnSe-ZnSe,-0.16699999999999998
CuBr-CuBr-CuBr-GaP-GaP-GaP,-0.031
CuBr-CuBr-CuBr-ZnSe-GaAs-GaAs,-0.06
CuBr-CuBr-CuBr-ZnSe-GaP-GaP,-0.071
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaAs,-0.15
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaP,-0.152
CuBr-CuBr-CuBr-ZnSe-ZnSe-ZnSe,-0.298
CuBr-CuBr-GaAs-GaAs-GaAs-GaAs,-0.076
CuBr-CuBr-GaP-GaP-GaP-GaP,-0.08199999999999999
CuBr-CuBr-ZnSe-GaAs-GaAs-GaAs,-0.138
CuBr-CuBr-ZnSe-GaP-GaP-GaP,-0.11599999999999999
CuBr-CuBr-ZnSe-ZnSe-GaAs-GaAs,-0.201
CuBr-CuBr-ZnSe-ZnSe-GaP-GaP,-0.17
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaAs,-0.28300000000000003
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaP,-0.303
CuBr-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,-0.395
CuBr-GaAs-GaAs-GaAs-GaAs-GaAs,-0.11599999999999999
CuBr-GaP-GaP-GaP-GaP-GaP,-0.135
CuBr-ZnSe-GaAs-GaAs-GaAs-GaAs,-0.15
CuBr-ZnSe-GaP-GaP-GaP-GaP,-0.168
CuBr-ZnSe-ZnSe-GaAs-GaAs-GaAs,-0.21600000000000005
CuBr-ZnSe-ZnSe-ZnSe-GaAs-GaAs,-0.29100000000000004
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaP,-0.381
CuCl-CuCl-CuCl-CuCl-CuCl-ZnS,-0.213
CuCl-CuCl-CuCl-CuCl-ZnS-ZnS,-0.325
CuCl-CuCl-CuCl-ZnS-ZnS-ZnS,-0.396
CuCl-ZnS-ZnS-ZnS-ZnS-ZnS,-0.583
CuI-CdS-CdS-CdS-CdS-CdS,-0.392
CuI-CdS-CdS-CdS-CdS-InP,-0.28800000000000003
CuI-CdS-CdS-CdS-InP-InP,-0.18600000000000005
CuI-CdS-InP-InP-InP-InP,-0.025
CuI-CdSe-CdSe-CdSe-CdSe-CdSe,-0.39399999999999996
CuI-CdSe-CdSe-CdSe-InP-InP,-0.175
CuI-CdSe-CdSe-InP-InP-InP,-0.09300000000000001
CuI-CdSe-InP-InP-InP-InP,-0.026000000000000002
CuI-CuI-CdS-CdS-CdS-CdS,-0.258
CuI-CuI-CdS-CdS-CdS-InP,-0.162
CuI-CuI-CdS-InP-InP-InP,0.025
CuI-CuI-CdSe-CdSe-CdSe-CdSe,-0.267
CuI-CuI-CdSe-CdSe-CdSe-InP,-0.155
CuI-CuI-CdSe-CdSe-InP-InP,-0.054000000000000006
CuI-CuI-CdSe-InP-InP-InP,0.018000000000000002
CuI-CuI-CuI-CdS-CdS-CdS,-0.14300000000000002
CuI-CuI-CuI-CdS-CdS-InP,-0.046
CuI-CuI-CuI-CdSe-CdSe-CdSe,-0.154
CuI-CuI-CuI-CdSe-InP-InP,0.049
CuI-CuI-CuI-CuI-CdSe-CdSe,-0.055999999999999994
CuI-CuI-CuI-CuI-CdSe-InP,0.057999999999999996
CuI-CuI-CuI-CuI-CuI-CdS,0.031
CuI-CuI-CuI-CuI-CuI-CdSe,0.018000000000000002
CuI-CuI-CuI-CuI-CuI-CuI,0.067
CuI-CuI-CuI-CuI-CuI-InP,0.172
CuI-CuI-CuI-CuI-CuI-ZnTe,0.042
CuI-CuI-CuI-CuI-InP-InP,0.27699999999999997
CuI-CuI-CuI-CuI-ZnTe-CdSe,-0.009000000000000001
CuI-CuI-CuI-CuI-ZnTe-InP,0.11199999999999999
CuI-CuI-CuI-CuI-ZnTe-ZnTe,-0.009000000000000001
CuI-CuI-CuI-InP-InP-InP,0.11800000000000001
CuI-CuI-CuI-ZnTe-CdSe-CdSe,-0.105
CuI-CuI-CuI-ZnTe-CdSe-InP,0.017
CuI-CuI-CuI-ZnTe-ZnTe-CdSe,-0.077
CuI-CuI-InP-InP-InP-InP,0.081
CuI-CuI-ZnTe-CdSe-CdSe-InP,-0.098
CuI-CuI-ZnTe-CdSe-InP-InP,0.006999999999999999
CuI-CuI-ZnTe-InP-InP-InP,0.079
CuI-CuI-ZnTe-ZnTe-CdSe-InP,-0.066
CuI-CuI-ZnTe-ZnTe-ZnTe-CdSe,-0.188
CuI-CuI-ZnTe-ZnTe-ZnTe-InP,-0.047
CuI-CuI-ZnTe-ZnTe-ZnTe-ZnTe,-0.16399999999999998
CuI-InP-InP-InP-InP-InP,0.034
CuI-ZnTe-CdSe-CdSe-CdSe-CdSe,-0.344
CuI-ZnTe-CdSe-CdSe-CdSe-InP,-0.222
CuI-ZnTe-CdSe-CdSe-InP-InP,-0.12
CuI-ZnTe-CdSe-InP-InP-InP,-0.038
CuI-ZnTe-InP-InP-InP-InP,0.028999999999999998
CuI-ZnTe-ZnTe-CdSe-CdSe-InP,-0.191
CuI-ZnTe-ZnTe-CdSe-InP-InP,-0.068
CuI-ZnTe-ZnTe-InP-InP-InP,-0.009000000000000001
CuI-ZnTe-ZnTe-ZnTe-CdSe-CdSe,-0.287
CuI-ZnTe-ZnTe-ZnTe-CdSe-InP,-0.162
CuI-ZnTe-ZnTe-ZnTe-InP-InP,-0.064
CuI-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,-0.261
CuI-ZnTe-ZnTe-ZnTe-ZnTe-InP,-0.142
CuI-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,-0.259
GaAs-GaAs-GaAs-CdS-CdS-CdS,-0.315
GaAs-GaAs-GaAs-GaAs-CdS-CdS,-0.267
GaAs-GaAs-GaAs-GaAs-GaAs-CdS,-0.226
GaSb-CdSe-CdSe-CdSe-CdSe-CdSe,-0.406
GaSb-CdSe-CdSe-CdSe-CdSe-InAs,-0.33899999999999997
GaSb-CdSe-CdSe-CdSe-InAs-InAs,-0.268
GaSb-CdSe-CdSe-InAs-InAs-InAs,-0.20199999999999999
GaSb-GaSb-CdSe-CdSe-CdSe-InAs,-0.261
GaSb-GaSb-CdSe-InAs-InAs-InAs,-0.131
GaSb-GaSb-GaSb-CdSe-CdSe-CdSe,-0.248
GaSb-GaSb-GaSb-CdSe-CdSe-InAs,-0.184
GaSb-GaSb-GaSb-CdSe-InAs-InAs,-0.12
GaSb-GaSb-GaSb-GaSb-CdSe-InAs,-0.111
GaSb-GaSb-GaSb-GaSb-GaSb-CdSe,-0.095
GaSb-GaSb-GaSb-GaSb-GaSb-GaSb,-0.10800000000000001
GaSb-GaSb-GaSb-GaSb-GaSb-InAs,-0.095
GaSb-GaSb-GaSb-GaSb-InAs-InAs,-0.107
GaSb-GaSb-GaSb-InAs-InAs-InAs,-0.1
GaSb-GaSb-InAs-InAs-InAs-InAs,-0.13
InAs-InAs-InAs-InAs-InAs-InAs,-0.153
InN-InN-InN-InN-InN-InN,0.133
InP-InP-InP-InP-InP-InP,-0.13699999999999998
InSb-InSb-InSb-InSb-InSb-InSb,-0.062
MgS-AlAs-AlAs-AlAs-AlAs-AlAs,-0.494
MgS-AlAs-AlAs-AlAs-AlAs-CuBr,-0.408
MgS-AlAs-AlAs-AlAs-AlAs-GaAs,-0.455
MgS-AlAs-AlAs-AlAs-AlAs-ZnSe,-0.562
MgS-AlAs-AlAs-AlAs-CuBr-CuBr,-0.35600000000000004
MgS-AlAs-AlAs-AlAs-CuBr-GaAs,-0.271
MgS-AlAs-AlAs-AlAs-CuBr-ZnSe,-0.425
MgS-AlAs-AlAs-AlAs-GaAs-GaAs,-0.42
MgS-AlAs-AlAs-AlAs-ZnSe-GaAs,-0.43
MgS-AlAs-AlAs-AlAs-ZnSe-ZnSe,-0.584
MgS-AlAs-AlAs-CuBr-CuBr-CuBr,-0.23
MgS-AlAs-AlAs-CuBr-CuBr-ZnSe,-0.374
MgS-AlAs-AlAs-CuBr-GaAs-GaAs,-0.21899999999999997
MgS-AlAs-AlAs-CuBr-ZnSe-GaAs,-0.29100000000000004
MgS-AlAs-AlAs-CuBr-ZnSe-ZnSe,-0.46
MgS-AlAs-AlAs-GaAs-GaAs-GaAs,-0.385
MgS-AlAs-AlAs-ZnSe-GaAs-GaAs,-0.38799999999999996
MgS-AlAs-CuBr-CuBr-CuBr-CuBr,-0.17600000000000002
MgS-AlAs-CuBr-CuBr-CuBr-GaAs,-0.127
MgS-AlAs-CuBr-CuBr-CuBr-ZnSe,-0.318
MgS-AlAs-CuBr-CuBr-GaAs-GaAs,-0.159
MgS-AlAs-CuBr-CuBr-ZnSe-GaAs,-0.248
MgS-AlAs-CuBr-GaAs-GaAs-GaAs,-0.205
MgS-AlAs-CuBr-ZnSe-GaAs-GaAs,-0.251
MgS-AlAs-CuBr-ZnSe-ZnSe-GaAs,-0.336
MgS-AlAs-GaAs-GaAs-GaAs-GaAs,-0.349
MgS-AlAs-ZnSe-GaAs-GaAs-GaAs,-0.36
MgS-AlAs-ZnSe-ZnSe-GaAs-GaAs,-0.415
MgS-AlAs-ZnSe-ZnSe-ZnSe-GaAs,-0.491
MgS-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,-0.6609999999999999
MgS-AlP-AlP-AlP-AlP-CuBr,-0.47
MgS-AlP-AlP-AlP-AlP-GaP,-0.529
MgS-AlP-AlP-AlP-CuBr-CuBr,-0.364
MgS-AlP-AlP-AlP-CuBr-GaP,-0.319
MgS-AlP-AlP-AlP-CuBr-ZnSe,-0.461
MgS-AlP-AlP-AlP-ZnSe-ZnSe,-0.618
MgS-AlP-AlP-CuBr-CuBr-CuBr,-0.262
MgS-AlP-AlP-CuBr-CuBr-ZnSe,-0.415
MgS-AlP-AlP-CuBr-GaP-GaP,-0.252
MgS-AlP-AlP-CuBr-ZnSe-GaP,-0.32899999999999996
MgS-AlP-AlP-CuBr-ZnSe-ZnSe,-0.479
MgS-AlP-AlP-GaP-GaP-GaP,-0.436
MgS-AlP-AlP-ZnSe-GaP-GaP,-0.441
MgS-AlP-AlP-ZnSe-ZnSe-ZnSe,-0.633
MgS-AlP-CuBr-CuBr-CuBr-CuBr,-0.192
MgS-AlP-CuBr-CuBr-CuBr-GaP,-0.15
MgS-AlP-CuBr-CuBr-CuBr-ZnSe,-0.289
MgS-AlP-CuBr-CuBr-ZnSe-GaP,-0.247
MgS-AlP-CuBr-CuBr-ZnSe-ZnSe,-0.447
MgS-AlP-CuBr-GaP-GaP-GaP,-0.22899999999999998
MgS-AlP-CuBr-ZnSe-GaP-GaP,-0.27899999999999997
MgS-AlP-CuBr-ZnSe-ZnSe-GaP,-0.366
MgS-AlP-CuBr-ZnSe-ZnSe-ZnSe,-0.52
MgS-AlP-GaP-GaP-GaP-GaP,-0.389
MgS-AlP-ZnSe-GaP-GaP-GaP,-0.401
MgS-AlP-ZnSe-ZnSe-ZnSe-GaP,-0.527
MgS-BeTe-AlAs-AlAs-AlAs-AlAs,-0.41200000000000003
MgS-BeTe-AlAs-AlAs-AlAs-GaAs,-0.373
MgS-BeTe-AlAs-AlAs-AlAs-ZnSe,-0.48700000000000004
MgS-BeTe-AlAs-AlAs-CuBr-ZnSe,-0.371
MgS-BeTe-AlAs-AlAs-ZnSe-GaAs,-0.361
MgS-BeTe-AlAs-AlAs-ZnSe-ZnSe,-0.522
MgS-BeTe-AlAs-CuBr-CuBr-CuBr,-0.214
MgS-BeTe-AlAs-CuBr-CuBr-GaAs,-0.158
MgS-BeTe-AlAs-CuBr-GaAs-GaAs,-0.18899999999999997
MgS-BeTe-AlAs-CuBr-ZnSe-ZnSe,-0.4370000000000001
MgS-BeTe-AlAs-ZnSe-GaAs-GaAs,-0.336
MgS-BeTe-AlAs-ZnSe-ZnSe-GaAs,-0.40700000000000003
MgS-BeTe-AlAs-ZnSe-ZnSe-ZnSe,-0.58
MgS-BeTe-AlP-AlP-AlP-AlP,-0.53
MgS-BeTe-AlP-AlP-AlP-CuBr,-0.39299999999999996
MgS-BeTe-AlP-AlP-AlP-GaP,-0.47200000000000003
MgS-BeTe-AlP-AlP-AlP-ZnSe,-0.531
MgS-BeTe-AlP-AlP-CuBr-CuBr,-0.28600000000000003
MgS-BeTe-AlP-AlP-CuBr-ZnSe,-0.396
MgS-BeTe-AlP-AlP-GaP-GaP,-0.425
MgS-BeTe-AlP-AlP-ZnSe-GaP,-0.41600000000000004
MgS-BeTe-AlP-AlP-ZnSe-ZnSe,-0.547
MgS-BeTe-AlP-CuBr-CuBr-CuBr,-0.226
MgS-BeTe-AlP-CuBr-CuBr-GaP,-0.184
MgS-BeTe-AlP-CuBr-ZnSe-ZnSe,-0.447
MgS-BeTe-AlP-GaP-GaP-GaP,-0.37799999999999995
MgS-BeTe-AlP-ZnSe-ZnSe-GaP,-0.44799999999999995
MgS-BeTe-BeTe-AlAs-AlAs-AlAs,-0.38799999999999996
MgS-BeTe-BeTe-AlAs-AlAs-CuBr,-0.336
MgS-BeTe-BeTe-AlAs-CuBr-ZnSe,-0.392
MgS-BeTe-BeTe-AlAs-GaAs-GaAs,-0.317
