6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Formation Energy
MgS-BeTe-BeTe-AlAs-ZnSe-ZnSe,-0.532
MgS-BeTe-BeTe-AlP-AlP-AlP,-0.44
MgS-BeTe-BeTe-AlP-AlP-CuBr,-0.366
MgS-BeTe-BeTe-AlP-AlP-ZnSe,-0.501
MgS-BeTe-BeTe-AlP-CuBr-CuBr,-0.294
MgS-BeTe-BeTe-AlP-CuBr-GaP,-0.251
MgS-BeTe-BeTe-AlP-CuBr-ZnSe,-0.40399999999999997
MgS-BeTe-BeTe-AlP-GaP-GaP,-0.34600000000000003
MgS-BeTe-BeTe-AlP-ZnSe-GaP,-0.402
MgS-BeTe-BeTe-AlP-ZnSe-ZnSe,-0.55
MgS-BeTe-BeTe-BeTe-AlAs-AlAs,-0.379
MgS-BeTe-BeTe-BeTe-AlAs-CuBr,-0.35700000000000004
MgS-BeTe-BeTe-BeTe-AlAs-GaAs,-0.34
MgS-BeTe-BeTe-BeTe-AlAs-ZnSe,-0.486
MgS-BeTe-BeTe-BeTe-AlP-AlP,-0.415
MgS-BeTe-BeTe-BeTe-AlP-GaP,-0.366
MgS-BeTe-BeTe-BeTe-AlP-ZnSe,-0.504
MgS-BeTe-BeTe-BeTe-BeTe-AlP,-0.42200000000000004
MgS-BeTe-BeTe-BeTe-BeTe-BeTe,-0.457
MgS-BeTe-BeTe-BeTe-BeTe-CuBr,-0.377
MgS-BeTe-BeTe-BeTe-BeTe-GaAs,-0.36200000000000004
MgS-BeTe-BeTe-BeTe-BeTe-GaP,-0.386
MgS-BeTe-BeTe-BeTe-CuBr-CuBr,-0.311
MgS-BeTe-BeTe-BeTe-CuBr-GaAs,-0.24100000000000002
MgS-BeTe-BeTe-BeTe-CuBr-GaP,-0.259
MgS-BeTe-BeTe-BeTe-CuBr-ZnSe,-0.415
MgS-BeTe-BeTe-BeTe-GaAs-GaAs,-0.321
MgS-BeTe-BeTe-BeTe-ZnSe-GaP,-0.415
MgS-BeTe-BeTe-BeTe-ZnSe-ZnSe,-0.581
MgS-BeTe-BeTe-CuBr-CuBr-GaAs,-0.183
MgS-BeTe-BeTe-CuBr-CuBr-GaP,-0.2
MgS-BeTe-BeTe-CuBr-CuBr-ZnSe,-0.35200000000000004
MgS-BeTe-BeTe-CuBr-GaAs-GaAs,-0.225
MgS-BeTe-BeTe-CuBr-GaP-GaP,-0.217
MgS-BeTe-BeTe-CuBr-ZnSe-GaAs,-0.26899999999999996
MgS-BeTe-BeTe-CuBr-ZnSe-GaP,-0.289
MgS-BeTe-BeTe-CuBr-ZnSe-ZnSe,-0.46
MgS-BeTe-BeTe-GaAs-GaAs-GaAs,-0.299
MgS-BeTe-BeTe-ZnSe-GaAs-GaAs,-0.35600000000000004
MgS-BeTe-BeTe-ZnSe-GaP-GaP,-0.37
MgS-BeTe-BeTe-ZnSe-ZnSe-GaAs,-0.44
MgS-BeTe-BeTe-ZnSe-ZnSe-GaP,-0.461
MgS-BeTe-BeTe-ZnSe-ZnSe-ZnSe,-0.627
MgS-BeTe-CuBr-CuBr-CuBr-CuBr,-0.19699999999999998
MgS-BeTe-CuBr-CuBr-CuBr-GaAs,-0.122
MgS-BeTe-CuBr-CuBr-CuBr-GaP,-0.139
MgS-BeTe-CuBr-CuBr-CuBr-ZnSe,-0.292
MgS-BeTe-CuBr-CuBr-GaAs-GaAs,-0.16699999999999998
MgS-BeTe-CuBr-CuBr-GaP-GaP,-0.16
MgS-BeTe-CuBr-CuBr-ZnSe-GaAs,-0.204
MgS-BeTe-CuBr-CuBr-ZnSe-GaP,-0.22399999999999998
MgS-BeTe-CuBr-CuBr-ZnSe-ZnSe,-0.395
MgS-BeTe-CuBr-GaAs-GaAs-GaAs,-0.207
MgS-BeTe-CuBr-GaP-GaP-GaP,-0.213
MgS-BeTe-CuBr-ZnSe-GaAs-GaAs,-0.22899999999999998
MgS-BeTe-CuBr-ZnSe-GaP-GaP,-0.251
MgS-BeTe-CuBr-ZnSe-ZnSe-ZnSe,-0.504
MgS-BeTe-GaAs-GaAs-GaAs-GaAs,-0.285
MgS-BeTe-ZnSe-GaAs-GaAs-GaAs,-0.336
MgS-BeTe-ZnSe-GaP-GaP-GaP,-0.349
MgS-BeTe-ZnSe-ZnSe-GaAs-GaAs,-0.40299999999999997
MgS-BeTe-ZnSe-ZnSe-GaP-GaP,-0.415
MgS-BeTe-ZnSe-ZnSe-ZnSe-GaAs,-0.48700000000000004
MgS-BeTe-ZnSe-ZnSe-ZnSe-GaP,-0.507
MgS-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,-0.672
MgS-CuBr-CuBr-CuBr-CuBr-CuBr,-0.20199999999999999
MgS-CuBr-CuBr-CuBr-CuBr-GaAs,-0.08900000000000001
MgS-CuBr-CuBr-CuBr-CuBr-GaP,-0.102
MgS-CuBr-CuBr-CuBr-CuBr-ZnSe,-0.26899999999999996
MgS-CuBr-CuBr-CuBr-GaAs-GaAs,-0.11599999999999999
MgS-CuBr-CuBr-CuBr-GaP-GaP,-0.109
MgS-CuBr-CuBr-CuBr-ZnSe-GaAs,-0.225
MgS-CuBr-CuBr-CuBr-ZnSe-GaP,-0.243
MgS-CuBr-CuBr-CuBr-ZnSe-ZnSe,-0.419
MgS-CuBr-CuBr-GaAs-GaAs-GaAs,-0.161
MgS-CuBr-CuBr-GaP-GaP-GaP,-0.159
MgS-CuBr-CuBr-ZnSe-GaP-GaP,-0.2
MgS-CuBr-CuBr-ZnSe-ZnSe-ZnSe,-0.517
MgS-CuBr-GaAs-GaAs-GaAs-GaAs,-0.203
MgS-CuBr-ZnSe-GaAs-GaAs-GaAs,-0.247
MgS-CuBr-ZnSe-GaP-GaP-GaP,-0.255
MgS-CuBr-ZnSe-ZnSe-GaP-GaP,-0.321
MgS-CuBr-ZnSe-ZnSe-ZnSe-GaAs,-0.406
MgS-CuBr-ZnSe-ZnSe-ZnSe-GaP,-0.42100000000000004
MgS-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,-0.595
MgS-GaAs-GaAs-GaAs-GaAs-GaAs,-0.301
MgS-GaP-GaP-GaP-GaP-GaP,-0.331
MgS-MgS-AlAs-AlAs-AlAs-AlAs,-0.637
MgS-MgS-AlAs-AlAs-AlAs-CuBr,-0.561
MgS-MgS-AlAs-AlAs-AlAs-ZnSe,-0.71
MgS-MgS-AlAs-AlAs-CuBr-CuBr,-0.512
MgS-MgS-AlAs-AlAs-CuBr-GaAs,-0.425
MgS-MgS-AlAs-AlAs-CuBr-ZnSe,-0.585
MgS-MgS-AlAs-AlAs-GaAs-GaAs,-0.564
MgS-MgS-AlAs-AlAs-ZnSe-GaAs,-0.58
MgS-MgS-AlAs-CuBr-CuBr-CuBr,-0.45399999999999996
MgS-MgS-AlAs-CuBr-CuBr-GaAs,-0.36
MgS-MgS-AlAs-CuBr-CuBr-ZnSe,-0.544
MgS-MgS-AlAs-CuBr-GaAs-GaAs,-0.386
MgS-MgS-AlAs-CuBr-ZnSe-GaAs,-0.45899999999999996
MgS-MgS-AlAs-GaAs-GaAs-GaAs,-0.528
MgS-MgS-AlAs-ZnSe-GaAs-GaAs,-0.5479999999999999
MgS-MgS-AlAs-ZnSe-ZnSe-GaAs,-0.616
MgS-MgS-AlAs-ZnSe-ZnSe-ZnSe,-0.787
MgS-MgS-AlP-AlP-AlP-AlP,-0.696
MgS-MgS-AlP-AlP-AlP-CuBr,-0.602
MgS-MgS-AlP-AlP-AlP-ZnSe,-0.743
MgS-MgS-AlP-AlP-CuBr-GaP,-0.456
MgS-MgS-AlP-AlP-ZnSe-GaP,-0.623
MgS-MgS-AlP-AlP-ZnSe-ZnSe,-0.759
MgS-MgS-AlP-CuBr-CuBr-CuBr,-0.419
MgS-MgS-AlP-CuBr-CuBr-GaP,-0.381
MgS-MgS-AlP-CuBr-CuBr-ZnSe,-0.573
MgS-MgS-AlP-CuBr-ZnSe-GaP,-0.48700000000000004
MgS-MgS-AlP-CuBr-ZnSe-ZnSe,-0.6459999999999999
MgS-MgS-AlP-GaP-GaP-GaP,-0.5529999999999999
MgS-MgS-AlP-ZnSe-ZnSe-GaP,-0.6509999999999999
MgS-MgS-BeTe-AlAs-AlAs-AlAs,-0.563
MgS-MgS-BeTe-AlAs-AlAs-CuBr,-0.506
MgS-MgS-BeTe-AlAs-AlAs-ZnSe,-0.648
MgS-MgS-BeTe-AlAs-CuBr-CuBr,-0.485
MgS-MgS-BeTe-AlAs-CuBr-GaAs,-0.395
MgS-MgS-BeTe-AlAs-ZnSe-GaAs,-0.536
MgS-MgS-BeTe-AlAs-ZnSe-ZnSe,-0.706
MgS-MgS-BeTe-AlP-AlP-CuBr,-0.5379999999999999
MgS-MgS-BeTe-AlP-AlP-GaP,-0.5589999999999999
MgS-MgS-BeTe-AlP-AlP-ZnSe,-0.672
MgS-MgS-BeTe-AlP-CuBr-CuBr,-0.46399999999999997
MgS-MgS-BeTe-AlP-CuBr-GaP,-0.423
MgS-MgS-BeTe-AlP-CuBr-ZnSe,-0.574
MgS-MgS-BeTe-AlP-GaP-GaP,-0.516
MgS-MgS-BeTe-AlP-ZnSe-GaP,-0.575
MgS-MgS-BeTe-AlP-ZnSe-ZnSe,-0.722
MgS-MgS-BeTe-BeTe-AlAs-AlAs,-0.552
MgS-MgS-BeTe-BeTe-AlAs-GaAs,-0.513
MgS-MgS-BeTe-BeTe-AlAs-ZnSe,-0.659
MgS-MgS-BeTe-BeTe-AlP-AlP,-0.586
MgS-MgS-BeTe-BeTe-AlP-CuBr,-0.542
MgS-MgS-BeTe-BeTe-AlP-GaP,-0.537
MgS-MgS-BeTe-BeTe-BeTe-AlP,-0.594
MgS-MgS-BeTe-BeTe-BeTe-BeTe,-0.629
MgS-MgS-BeTe-BeTe-BeTe-CuBr,-0.546
MgS-MgS-BeTe-BeTe-BeTe-GaP,-0.5579999999999999
MgS-MgS-BeTe-BeTe-BeTe-ZnSe,-0.7070000000000001
MgS-MgS-BeTe-BeTe-CuBr-CuBr,-0.48
MgS-MgS-BeTe-BeTe-CuBr-GaAs,-0.413
MgS-MgS-BeTe-BeTe-CuBr-GaP,-0.431
MgS-MgS-BeTe-BeTe-CuBr-ZnSe,-0.585
MgS-MgS-BeTe-BeTe-GaAs-GaAs,-0.494
MgS-MgS-BeTe-BeTe-GaP-GaP,-0.511
MgS-MgS-BeTe-BeTe-ZnSe-GaAs,-0.5660000000000001
MgS-MgS-BeTe-BeTe-ZnSe-GaP,-0.5870000000000001
MgS-MgS-BeTe-BeTe-ZnSe-ZnSe,-0.753
MgS-MgS-BeTe-CuBr-CuBr-CuBr,-0.42100000000000004
MgS-MgS-BeTe-CuBr-CuBr-ZnSe,-0.521
MgS-MgS-BeTe-CuBr-GaAs-GaAs,-0.39299999999999996
MgS-MgS-BeTe-CuBr-ZnSe-GaP,-0.45899999999999996
MgS-MgS-BeTe-CuBr-ZnSe-ZnSe,-0.629
MgS-MgS-BeTe-GaAs-GaAs-GaAs,-0.47200000000000003
MgS-MgS-BeTe-GaP-GaP-GaP,-0.49
MgS-MgS-BeTe-ZnSe-GaAs-GaAs,-0.53
MgS-MgS-BeTe-ZnSe-ZnSe-GaAs,-0.613
MgS-MgS-CuBr-CuBr-CuBr-CuBr,-0.465
MgS-MgS-CuBr-CuBr-CuBr-GaAs,-0.305
MgS-MgS-CuBr-CuBr-CuBr-ZnSe,-0.484
MgS-MgS-CuBr-CuBr-GaAs-GaAs,-0.33799999999999997
MgS-MgS-CuBr-CuBr-GaP-GaP,-0.33399999999999996
MgS-MgS-CuBr-CuBr-ZnSe-GaAs,-0.4370000000000001
MgS-MgS-CuBr-CuBr-ZnSe-GaP,-0.462
MgS-MgS-CuBr-CuBr-ZnSe-ZnSe,-0.635
MgS-MgS-CuBr-GaP-GaP-GaP,-0.386
MgS-MgS-CuBr-ZnSe-GaAs-GaAs,-0.434
MgS-MgS-CuBr-ZnSe-GaP-GaP,-0.442
MgS-MgS-CuBr-ZnSe-ZnSe-GaAs,-0.522
MgS-MgS-CuBr-ZnSe-ZnSe-GaP,-0.54
MgS-MgS-CuBr-ZnSe-ZnSe-ZnSe,-0.7170000000000001
MgS-MgS-GaP-GaP-GaP-GaP,-0.5
MgS-MgS-MgS-AlAs-AlAs-AlAs,-0.7879999999999999
MgS-MgS-MgS-AlAs-AlAs-CuBr,-0.722
MgS-MgS-MgS-AlAs-AlAs-GaAs,-0.75
MgS-MgS-MgS-AlAs-CuBr-CuBr,-0.679
MgS-MgS-MgS-AlAs-CuBr-GaAs,-0.598
MgS-MgS-MgS-AlAs-ZnSe-GaAs,-0.748
MgS-MgS-MgS-AlAs-ZnSe-ZnSe,-0.914
MgS-MgS-MgS-AlP-AlP-AlP,-0.8270000000000001
MgS-MgS-MgS-AlP-AlP-CuBr,-0.7490000000000001
MgS-MgS-MgS-AlP-AlP-GaP,-0.777
MgS-MgS-MgS-AlP-AlP-ZnSe,-0.885
MgS-MgS-MgS-AlP-CuBr-CuBr,-0.7120000000000001
MgS-MgS-MgS-AlP-CuBr-GaP,-0.622
MgS-MgS-MgS-AlP-CuBr-ZnSe,-0.7709999999999999
MgS-MgS-MgS-AlP-ZnSe-GaP,-0.7809999999999999
MgS-MgS-MgS-AlP-ZnSe-ZnSe,-0.9259999999999999
MgS-MgS-MgS-BeTe-AlAs-AlAs,-0.726
MgS-MgS-MgS-BeTe-AlAs-CuBr,-0.698
MgS-MgS-MgS-BeTe-AlAs-GaAs,-0.688
MgS-MgS-MgS-BeTe-AlP-AlP,-0.758
MgS-MgS-MgS-BeTe-AlP-CuBr,-0.713
MgS-MgS-MgS-BeTe-AlP-GaP,-0.7090000000000001
MgS-MgS-MgS-BeTe-AlP-ZnSe,-0.848
MgS-MgS-MgS-BeTe-BeTe-AlAs,-0.74
MgS-MgS-MgS-BeTe-BeTe-AlP,-0.7659999999999999
MgS-MgS-MgS-BeTe-BeTe-CuBr,-0.7170000000000001
MgS-MgS-MgS-BeTe-BeTe-GaAs,-0.708
MgS-MgS-MgS-BeTe-BeTe-GaP,-0.731
MgS-MgS-MgS-BeTe-BeTe-ZnSe,-0.879
MgS-MgS-MgS-BeTe-CuBr-GaAs,-0.585
MgS-MgS-MgS-BeTe-CuBr-GaP,-0.602
MgS-MgS-MgS-BeTe-CuBr-ZnSe,-0.7559999999999999
MgS-MgS-MgS-BeTe-GaAs-GaAs,-0.667
MgS-MgS-MgS-BeTe-GaP-GaP,-0.6829999999999999
MgS-MgS-MgS-BeTe-ZnSe-GaAs,-0.74
MgS-MgS-MgS-CuBr-CuBr-CuBr,-0.6809999999999999
MgS-MgS-MgS-CuBr-CuBr-GaAs,-0.575
MgS-MgS-MgS-CuBr-CuBr-GaP,-0.596
MgS-MgS-MgS-CuBr-CuBr-ZnSe,-0.762
MgS-MgS-MgS-CuBr-GaAs-GaAs,-0.5710000000000001
MgS-MgS-MgS-CuBr-GaP-GaP,-0.573
MgS-MgS-MgS-CuBr-ZnSe-GaAs,-0.648
MgS-MgS-MgS-CuBr-ZnSe-ZnSe,-0.843
MgS-MgS-MgS-GaAs-GaAs-GaAs,-0.6729999999999999
MgS-MgS-MgS-GaP-GaP-GaP,-0.682
MgS-MgS-MgS-MgS-AlAs-AlAs,-0.946
MgS-MgS-MgS-MgS-AlAs-CuBr,-0.8959999999999999
MgS-MgS-MgS-MgS-AlAs-ZnSe,-1.04
MgS-MgS-MgS-MgS-AlP-AlP,-0.971
MgS-MgS-MgS-MgS-AlP-ZnSe,-1.052
MgS-MgS-MgS-MgS-BeTe-AlAs,-0.9129999999999999
MgS-MgS-MgS-MgS-BeTe-AlP,-0.9390000000000001
MgS-MgS-MgS-MgS-BeTe-BeTe,-0.972
MgS-MgS-MgS-MgS-BeTe-GaAs,-0.8809999999999999
MgS-MgS-MgS-MgS-BeTe-GaP,-0.903
MgS-MgS-MgS-MgS-BeTe-ZnSe,-1.051
MgS-MgS-MgS-MgS-CuBr-CuBr,-0.905
MgS-MgS-MgS-MgS-CuBr-GaAs,-0.784
MgS-MgS-MgS-MgS-CuBr-GaP,-0.802
MgS-MgS-MgS-MgS-CuBr-ZnSe,-0.968
MgS-MgS-MgS-MgS-GaAs-GaAs,-0.866
MgS-MgS-MgS-MgS-GaP-GaP,-0.875
MgS-MgS-MgS-MgS-MgS-AlAs,-1.121
MgS-MgS-MgS-MgS-MgS-AlP,-1.1440000000000001
MgS-MgS-MgS-MgS-MgS-BeTe,-1.143
MgS-MgS-MgS-MgS-MgS-CuBr,-1.11
MgS-MgS-MgS-MgS-MgS-GaAs,-1.073
MgS-MgS-MgS-MgS-MgS-GaP,-1.089
MgS-MgS-MgS-MgS-MgS-ZnSe,-1.262
MgS-MgS-MgS-MgS-ZnSe-GaAs,-0.953
MgS-MgS-MgS-MgS-ZnSe-GaP,-0.973
MgS-MgS-MgS-MgS-ZnSe-ZnSe,-1.136
MgS-MgS-MgS-ZnSe-GaAs-GaAs,-0.743
MgS-MgS-MgS-ZnSe-GaP-GaP,-0.754
MgS-MgS-MgS-ZnSe-ZnSe-GaAs,-0.826
MgS-MgS-MgS-ZnSe-ZnSe-GaP,-0.846
MgS-MgS-MgS-ZnSe-ZnSe-ZnSe,-1.01
MgS-MgS-ZnSe-GaAs-GaAs-GaAs,-0.5489999999999999
MgS-MgS-ZnSe-GaP-GaP-GaP,-0.561
MgS-MgS-ZnSe-ZnSe-GaAs-GaAs,-0.616
MgS-MgS-ZnSe-ZnSe-GaP-GaP,-0.628
MgS-MgS-ZnSe-ZnSe-ZnSe-GaAs,-0.6990000000000001
MgS-MgS-ZnSe-ZnSe-ZnSe-GaP,-0.7190000000000001
MgS-MgS-ZnSe-ZnSe-ZnSe-ZnSe,-0.883
MgS-ZnSe-GaAs-GaAs-GaAs-GaAs,-0.36200000000000004
MgS-ZnSe-GaP-GaP-GaP-GaP,-0.382
MgS-ZnSe-ZnSe-GaP-GaP-GaP,-0.436
MgS-ZnSe-ZnSe-ZnSe-GaAs-GaAs,-0.49
MgS-ZnSe-ZnSe-ZnSe-GaP-GaP,-0.502
MgS-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,-0.573
MgS-ZnSe-ZnSe-ZnSe-ZnSe-GaP,-0.593
MgS-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,-0.757
SiC-SiC-SiC-SiC-SiC-SiC,-0.22
ZnO-GaN-GaN-GaN-GaN-GaN,-0.486
ZnO-ZnO-GaN-GaN-GaN-GaN,-0.63
ZnO-ZnO-ZnO-GaN-GaN-GaN,-0.785
ZnO-ZnO-ZnO-ZnO-GaN-GaN,-0.956
ZnO-ZnO-ZnO-ZnO-ZnO-ZnO,-1.4140000000000001
ZnS-GaP-GaP-GaP-GaP-GaP,-0.313
ZnS-ZnS-GaP-GaP-GaP-GaP,-0.36
ZnS-ZnS-ZnS-ZnS-GaP-GaP,-0.4970000000000001
ZnS-ZnS-ZnS-ZnS-ZnS-ZnS,-0.745
ZnSe-GaAs-GaAs-GaAs-GaAs-GaAs,-0.275
ZnSe-GaP-GaP-GaP-GaP-GaP,-0.311
ZnSe-ZnSe-GaAs-GaAs-GaAs-GaAs,-0.318
ZnSe-ZnSe-GaP-GaP-GaP-GaP,-0.337
ZnSe-ZnSe-ZnSe-GaAs-GaAs-GaAs,-0.376
ZnSe-ZnSe-ZnSe-GaP-GaP-GaP,-0.384
ZnSe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,-0.442
ZnSe-ZnSe-ZnSe-ZnSe-GaP-GaP,-0.447
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,-0.526
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,-0.535
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,-0.6559999999999999
ZnTe-CdSe-CdSe-CdSe-CdSe-CdSe,-0.524
ZnTe-CdSe-CdSe-CdSe-InAs-InAs,-0.331
ZnTe-CdSe-CdSe-CdSe-InP-InP,-0.302
ZnTe-CdSe-CdSe-InAs-InAs-InAs,-0.256
ZnTe-CdSe-CdSe-InP-InP-InP,-0.218
ZnTe-GaSb-CdSe-CdSe-CdSe-CdSe,-0.376
ZnTe-GaSb-CdSe-CdSe-InAs-InAs,-0.20600000000000002
ZnTe-GaSb-GaSb-CdSe-CdSe-InAs,-0.20800000000000002
ZnTe-GaSb-GaSb-CdSe-InAs-InAs,-0.131
ZnTe-GaSb-GaSb-GaSb-CdSe-CdSe,-0.212
ZnTe-GaSb-GaSb-GaSb-GaSb-CdSe,-0.134
ZnTe-GaSb-GaSb-GaSb-GaSb-GaSb,-0.094
ZnTe-GaSb-GaSb-InAs-InAs-InAs,-0.114
ZnTe-GaSb-InAs-InAs-InAs-InAs,-0.125
ZnTe-InAs-InAs-InAs-InAs-InAs,-0.163
ZnTe-InP-InP-InP-InP-InP,-0.131
ZnTe-ZnTe-CdSe-CdSe-CdSe-CdSe,-0.4970000000000001
ZnTe-ZnTe-CdSe-CdSe-CdSe-InAs,-0.39299999999999996
ZnTe-ZnTe-CdSe-CdSe-CdSe-InP,-0.375
ZnTe-ZnTe-CdSe-CdSe-InAs-InAs,-0.301
ZnTe-ZnTe-CdSe-CdSe-InP-InP,-0.271
ZnTe-ZnTe-CdSe-InAs-InAs-InAs,-0.226
ZnTe-ZnTe-CdSe-InP-InP-InP,-0.18899999999999997
ZnTe-ZnTe-GaSb-CdSe-CdSe-CdSe,-0.34700000000000003
ZnTe-ZnTe-GaSb-CdSe-CdSe-InAs,-0.253
ZnTe-ZnTe-GaSb-GaSb-CdSe-CdSe,-0.262
ZnTe-ZnTe-GaSb-GaSb-CdSe-InAs,-0.171
ZnTe-ZnTe-GaSb-GaSb-GaSb-GaSb,-0.131
ZnTe-ZnTe-GaSb-GaSb-GaSb-InAs,-0.127
ZnTe-ZnTe-GaSb-InAs-InAs-InAs,-0.14300000000000002
ZnTe-ZnTe-InAs-InAs-InAs-InAs,-0.175
ZnTe-ZnTe-InP-InP-InP-InP,-0.14
ZnTe-ZnTe-ZnTe-CdSe-CdSe-CdSe,-0.469
ZnTe-ZnTe-ZnTe-CdSe-CdSe-InAs,-0.365
ZnTe-ZnTe-ZnTe-CdSe-InAs-InAs,-0.273
ZnTe-ZnTe-ZnTe-GaSb-CdSe-CdSe,-0.317
ZnTe-ZnTe-ZnTe-GaSb-CdSe-InAs,-0.17
ZnTe-ZnTe-ZnTe-GaSb-GaSb-CdSe,-0.233
ZnTe-ZnTe-ZnTe-GaSb-GaSb-GaSb,-0.17800000000000002
ZnTe-ZnTe-ZnTe-InAs-InAs-InAs,-0.20600000000000002
ZnTe-ZnTe-ZnTe-InP-InP-InP,-0.172
ZnTe-ZnTe-ZnTe-ZnTe-CdSe-CdSe,-0.441
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-CdSe,-0.289
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-GaSb,-0.231
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-InAs,-0.223
ZnTe-ZnTe-ZnTe-ZnTe-InAs-InAs,-0.251
ZnTe-ZnTe-ZnTe-ZnTe-InP-InP,-0.22399999999999998
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,-0.414
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,-0.29600000000000004
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-InP,-0.303
