composition,Eg (eV)
Hg0.7Cd0.3Te,0.35
CuBr,3.08
LuP,1.3
Cu3SbSe4,0.4
ZnO,3.44
PtSb2,0.08
ZnIn2S4,2.68
K4Sn3Ce3S14,2.46
Pb6B2CrO12,1.8
InSb,0.22
Sr2Be2B2O7,8.0
K2CuNbS4,2.82
PrTe2,1.02
BAs,1.46
Ba4Ga4GeSe12,2.18
CuBr,2.94
HgSe,0.07
AgIn5Te8,0.47
Rb7Th2P6Se21,2.07
TlS,1.37
CdS,2.5
Al2Se3,3.1
In2GeTe3,0.68
BiSeBr,1.5
GaAs0.4P0.6,2.1
K2AuPS4,2.63
CsH3Se2O6,4.77
CsB3GeO7,5.76
Pb0.97Sn0.03Te,0.3
PtAs2,0.55
SnGa4S7,3.1
Si3N4,5.1
Gd1.05Sc0.95Se3,1.2
Cs2ZnGe3Se8,2.31
CeO2,3.41
KAgAsS2,2.21
Mn11Si19,0.8
SrTe,3.73
LaCuOS,3.14
AlSb,1.67
Tl2AuPS4,2.2
Cs3Sn3F2Cl7,2.96
Cs1.13Cd1.13Bi2.87Se6,1.0
AgI,3.02
PtSb2,0.11
Hg0.1Zn0.9Te,1.83
TlBiTe3,0.5
CuCl,3.24
Pb0.92Sn0.08Se,0.06
CdSe,1.75
Cu3SbS4,0.75
GaAs,1.46
As2Te3,1.76
SrB6,3.68
GaN,3.25
Cd3As2,0.24
WO3,2.9
Bi2Te2.4Se0.6,0.25
Ge0.3Si0.7,1.0
CuN3,4.17
CdP4,1.05
MnI2,4.4
InSb,0.24
TmAs,1.18
Ga0.3As0.3Zn0.7Se0.7,1.93
Cd4GdB3O10,3.8
Cd3P2,0.54
SmAs,1.03
RbSbS2,2.1
Na5GdMo4O16,3.38
Sr2V2Se3O15,2.96
UP2S7,1.41
GaAs,1.51
TaON,2.8
RbBr,7.65
PdSe2,0.4
Ba3EuP3O12,4.09
RbBr,7.25
KBiSe2,0.7
Bi0.4Te3Sb1.6,0.21
Na2TeSe3,1.95
Tl2Te3,0.69
Al0.74Gd3Si0.7S7,2.34
CsTbZnTe3,2.12
BaB6,2.64
La5In3S9O3,2.6
PbN6,3.02
GaN,3.24
CaO,6.97
Na2S,2.4
Rb2Cd3Te4,2.3
AgI,2.8
SnSe,1.2
Rb2BaNb2Se11,1.53
TaZrN3,1.72
Ba3In2P4O16,3.87
In0.2P0.2Ga0.8As0.8,1.58
RbTa3Te2O12,3.88
GaTe,1.8
ZnO,3.51
Ag2SnS3,1.43
SnSe,1.3
Ba2GaErTe5,1.15
Na3MoO4Cl,4.69
K2Hg3Sn2S8,2.5
CdSb,0.57
GeSe,1.22
HfS3,2.85
Ga0.9Sb0.9Hg0.1Te0.1,0.65
InSb2S4Cl,1.8
GaS,2.59
PtS,0.8
AgS,0.9
Cs2P2Se8,2.44
Y4GaSbS9,2.06
Zn0.55S0.55Ga0.45P0.45,2.3
Zn0.95S0.95Ga0.05P0.05,2.7
Ga1.002Sb0.998Te0.006,0.7
CsF,10.0
KSbSe2,1.14
Ag3AsSe3,1.98
As2Se3,1.84
LiGaSe2,3.13
NbSe2,1.4
OsS2,2.0
GeS,1.8
RuAs2,0.8
InSb0.99As0.01,0.35
Ga1.1Sb0.9Se0.3,0.67
Sm2S3,2.96
SiP,2.0
YbB66,1.27
Pb0.9Sn0.1Se,0.08
CsYbMnSe3,1.6
K10Fe4Sn4S17,2.2
Pb0.95Te0.95Ge0.05S0.05,0.4
BaSe,3.58
K4In4P6Se20,2.2
Pb0.94Sn0.06Te,0.28
Bi2Te0.45Se2.55,0.2
KNb3Te2O12,3.52
Cd4P2I3,2.17
Cr2S3,0.9
InSe,1.32
Sr0.5TaO3,3.7
Tb4GaSbS9,2.44
B12P2,3.3
Dy2Te3,0.69
TiTlS2,1.0
Bi2S3,1.25
Ba2GaYTe5,1.08
Pb0.99Se0.99Sn0.01Se0.01,0.31
NaLaS3,2.61
CsGe5BO12,4.89
Tl2.35Sb8.65Se14,0.6
SnS0.8Se0.2,1.03
Hg3PS4,2.03
Zn2In2S5,2.95
Cs2ZnGe3Te8,1.07
EuSb4S7,0.98
PbSe,0.17
Na0.75Eu1.625GeSe4,2.0
PbI2,2.36
ZnHg3Se2Cl4,2.23
EuBiW2O9,3.63
Hg2I2,2.37
Hg0.5Cd0.5Se,0.8
TlInSe2,1.44
TaGaSe2,2.17
Bi2Se3,0.4
La2Ge2Se7,1.08
Bi12GeO20,3.25
CaSnO3,4.4
Ba2Sb7O14H,2.7
GaS,2.7
Sr3EuP3O12,3.99
Zn0.15Cd0.85Se,2.5
CuCl,3.2
CsLuCoS3,1.5
CoP2,0.35
NaBr,7.03
Pb0.95Mn0.05Te,0.37
TlBr,2.64
Ba6Ga2SnSe11,1.99
La4Cd4In2S13,2.27
CsAg2AsS3,2.7
HgSe,0.6
MnO2,1.3
SbSI,1.97
Ce2Sn3Se9,0.3
Hg0.7Cd0.3Te,0.27
RuSe2,1.0
Na2Hg3Ge2S8,2.68
Hg4P2ZrCl6,3.22
Cs3Bi,0.55
RbCd4Ga5S12,3.02
GaSb,0.82
Cs4Cu3Bi9S17,0.9
SeTe,1.58
GaTe,1.8
La1.86Tb1.14Ga1.67S7,2.67
ZnSe,2.79
SrPbO3,1.78
Na7Co2O6,0.5
In0.99Al0.01P,1.3
PbSe0.99S0.01,0.26
Bi2Te2Se,0.3
Cu3NbSe4,2.45
Ba4LiGa5Se12,2.65
GaSe,2.0
Ag3SbS3,2.08
Ga0.4Al0.6P,2.4
Tl2Se,0.37
RbInTe3O8,3.9
K2RbSb,1.2
Ga2Te3,1.45
CdIn2Te4,1.28
PbO2,1.45
AgFeTe2,0.3
TlCl,3.56
ZnSe,2.82
Li2WTeO6,4.0
Nd2Se3,1.75
SbSeI,1.91
K3B6O10Cl,6.89
ZrSe3,1.5
Rb5BS4O16,3.99
KCuThS3,2.95
InSb0.3As0.7,0.11
Cu3AsS4,1.24
Eu3Sb4S9,1.2
Ba2V2Te2O11,3.16
Na2In2GeS6,3.17
AlSb,1.5
HgIn2Se4,0.6
Cd4V3Te3O15,2.66
AgAlS2,3.13
Rb2Cu2SnS4,2.08
TlBr,3.01
TlTaS3,0.78
CuGaTe2,1.0
CdBiO2Cl,3.08
Ga2S3,2.85
Si30P16Te8,1.24
Ga1.01Sb0.99Se0.03,0.62
EuHo2Se4,1.8
As2Te3,1.72
GaN,3.4
CuCl,3.28
Mg3Sb2,0.82
GeSe,1.28
TaGaS2,2.46
Pb0.01Sn0.99Te,0.26
Pb0.8Sn0.2Se,0.08
SmTe,0.32
Ce2GeSe5,1.7
RbBiSe2,0.9
GaAs0.05Sb0.95,1.28
CrSb2,0.16
La2GeSe5,1.24
TlScTe2,0.85
GaS,2.58
CdSb,0.45
Sr2TiO4,3.41
Nb2O5,3.08
In6S7,0.7
Hg4P2HfCl6,3.26
PbSe,0.27
CsInTe3O8,3.9
Cu5Ta11O30,2.58
LiB3O5,7.75
LaF3,6.6
AlN,5.9
Zn2In2S5,2.5
K2Sb8Se3,1.31
CaS,6.0
CdSiAs2,1.5
IrP2,1.0
Ba3Bi2TeO9,2.3
As2Te3,1.63
NaNO2,3.02
Cs3As,0.6
CuInS2,1.5
SnS2,2.43
SbI3,2.5
RbI,6.26
PbSe0.5S0.5,0.33
Mn2P2Se6,2.5
Na2CdGe2Se6,2.37
KAg2PS4,3.02
Cu0.5Ga1.5S2.5,2.46
P2Se5,2.2
Na2BaSnS4,3.27
Pb4Ga5GeS12,2.35
CsAg5Te3,0.65
GaSb,0.78
TlBr,2.63
CdS,2.58
TlPTe,0.3
Pb0.94Se0.94Ge0.06Te0.06,0.28
BiI3,1.8
BaZnGeSe4,2.46
SiP2,1.89
Pb7Bi4Se13,0.29
Sr2Bi5.42La2.58S14,1.0
YbSnTe2,0.75
BaPrO3,2.0
CaS,5.38
As2S3,1.89
Dy2O3,5.0
AgGaGe5Se12,2.14
LaBeB3O7,5.65
Ba2GaSmTe5,1.04
Zn0.7S0.7Ga0.3P0.3,2.4
Na2EuGeSe4,2.0
AlSb,1.63
Li6Rb5B11O22,6.53
K9Bi13S24,1.4
MnO,3.6
KBaB5O9,3.65
FeI2,5.15
PrF3,5.9
NdIn3S6,1.15
AgS,1.2
NaSbSe2,1.6
Mg2Sn,0.33
NdFMoO4,3.66
CdSb,0.56
Ru2Ge3,0.34
ZnAs,0.9
Bi2YVO8,2.09
LiTaO3,4.1
CsYbCoSe3,0.95
K2Hg3Sn2S8,2.4
PbSe,0.18
Ho2HfS5,1.0
FeSi2,0.9
RbInSnS4,2.7
Ba2NdGaS5,2.12
Ga0.99P0.99Zn0.01Se0.01,2.24
EuLiH3,1.5
AgInSe2,1.04
Pb4Ga5GeSe12,1.91
Ba2InTaO6,4.17
Ca6Bi6O15,3.34
RbCd4Ga5Se12,2.19
Pb0.99Te0.99Ge0.01S0.01,0.32
CdTe,1.5
LiNbO3,4.0
LiInTe2,1.46
PtSb2,0.1
As2S3,2.78
SbSI,1.82
GaN,3.5
As2Te3,1.64
Zr6O,0.18
K6Nb2.97Ta1.03S25,2.01
Cu2MgSiS4,3.2
InAs,0.43
LiInS2,3.56
Sn3As2,0.47
InP,1.5
NaAsSe2,1.52
Ga0.4As0.4Zn0.6Se0.6,1.8
GaAs0.65Sb0.35,0.68
TaGaSe2,2.23
Mn11Si19,1.0
Mg2Sn,0.22
CdSe,1.8
NaSbTe2,0.47
Pb17O8Cl18,3.44
KH2PO4,7.0
ZnS,3.69
Cu2ZnGeSe4,1.63
Tb2GeS5,2.1
CI4,2.26
ZrS3,2.17
Ag3AsSe3,2.24
KI,6.31
Mg2Sn,0.19
Ce2Te3,1.4
Cs2Bi8.81La1.19S16,1.0
Cs2Ta2P2Se12,2.29
Tl3TaS4,2.18
Rb2Zn3Se4O12,4.9
CuIn3Se5,0.6
Tl2InGaTe4,0.88
Ga0.95Sb0.95Hg0.05Te0.05,0.69
SrZrS3,0.8
Cd4P2Br3,2.19
Ca3Ti2Si3O12,1.65
Bi2Mo2Se2O13,3.15
Cu2ZnSiS4,3.2
BiCuOS,1.07
CdGeAs2,0.61
Ga0.6Al0.4P,2.35
PtSb2,0.05
Cu3SbS4,1.0
Ba23Ga8Sb2S38,2.84
CdF2,6.0
Nd2YbCuS5,1.35
Ba2HgS5,2.4
AgTe,0.85
ZnSe,2.8
Ag3AsS3,2.24
CuNbO3,2.0
In5Se6,0.14
CuGa2S3.5,2.42
Pb0.97Sn0.03Te,0.21
Ba3ThSe7,1.96
Ag3AsS3,2.0
ZnYBiO4,1.58
Hg3Te2UCl6,2.6
PbGa4S7,3.08
MoO3,3.54
ErSe2,1.07
CuTlSe2,1.07
KAsSe2,1.63
CsYZnSe3,2.41
LiB3O5,7.78
BiI3,2.03
InSb0.7As0.3,0.16
Bi0.2Te3Sb1.8,0.28
K2FeGe3Se8,1.95
GaS,2.84
Zn0.01Cd0.99Se,2.5
CuBr,3.08
KI,6.25
CuBr,2.91
Bi2Te0.6Se2.4,0.28
Bi2Te0.03Se2.97,0.27
RbCu4AsS4,2.15
ZnGeP2,2.34
YPdSb,0.27
GeSe,1.08
Pb0.94Se0.94Sn0.06Se0.06,0.22
LiNbO3,3.9
Sb2Te3,0.19
CdGeP2,1.65
KI,6.28
Hg0.01Cd0.99Se,0.29
MnSb2O4,2.65
Cu0.2Ga1.8S2.8,2.7
Cs2Ba3P4O14,6.31
LiRbCO3,6.28
OsP4,0.6
Sb2Se3,1.2
Pb0.94Sn0.06Se,0.14
Rb4Ge3B6O17,5.42
Eu2Se3,1.02
ZnGeP2,2.2
CdGeAs2,0.41
GaSe,2.02
GeS,1.65
CsBr,7.18
Cs3Bi2I9,1.9
Pb0.995TeGa0.005,0.37
Cd3P2,0.6
In0.9P0.9Ga0.1As0.1,1.32
As2S3,2.74
Na3Sb,1.0
EuO,1.12
ZrO2,4.99
CsInSn2Se6,1.78
TlCl,3.75
RbGeB3O7,5.58
Cd0.01Te0.01Al0.99Sb0.99,2.21
LiGaO2,5.6
Ag2GeTe3,0.07
KTiPO5,3.8
AsI3,2.29
As4S4,2.4
RhSbTe,0.5
NaSbSe2,1.36
GaN,3.47
TlCr5S2Se6,0.75
K2AgIn3Se6,1.64
BaF2,9.1
ZnSnP2,2.1
Ga0.15As0.15Zn0.85Se0.85,2.25
CsGaSnSe4,1.97
Ca10Ge16B6O51,5.47
CdIn,0.6
Ba2InGdTe5,1.36
Rb3Ta2AsS11,2.21
HgIn2Te4,1.25
FeSi2,0.95
RbScSe2O6,4.9
BaIn2Se4,2.63
Ag2O,1.5
GeS,1.58
BaF2,9.21
TlBr,2.65
SrS,4.8
CaTaO2N,2.4
Pb0.999Sn0.001Te,0.18
AgAsS2,2.14
K3Bi2I9,2.1
ErTe,0.9
LiCdBO3,4.28
Na2ZnSn2S6,2.93
Ca2Sn,0.9
GeS2,3.71
Cu2ZnSiSe4,2.33
K3Ta2AsSe11,1.45
K4Nb2S11,2.42
SnGe,0.4
Mg2Sn,0.3
TlS2,1.8
Bi2Te2.4Se0.6,0.27
ZrSe2,2.0
BaIn2P4O14,3.97
La2NiVO6,0.45
Sn0.5GaZn5.5O8,2.99
CdS,2.58
K2PbGe2S6,2.85
CsTa3Se2O12,3.88
Hg0.01Zn0.99Te,2.3
Ge0.02Si0.98,1.08
Cd4As2Br3,1.88
PbBiO2Cl,2.45
CuInSe2,0.96
CdSe,1.67
EuBi2Te4,0.44
La4InSbS9,2.07
ZnS,3.78
SbI3,2.12
GaAs,1.52
Cs4GeP4Se12,2.0
AgN3,3.44
Sm1.82Lu2.18Se6,1.51
Si2Te3,2.03
LaMg2PdH7,1.0
CsErZnSe3,2.56
GaSb,0.7
RbAg5P2S8,2.4
Ba2InYTe5,1.36
LiZnN,1.98
In0.7Al0.3P,1.9
CdSe,1.84
KI,6.2
TlSe,0.56
Zn3Sb2,0.11
LuIn3S6,1.27
AgN3,3.9
PbI2,2.53
Na2Hg3Sn2S8,2.45
AgTlTe2,0.1
Pb3BiV3O12,2.5
K2Nd2Ti3O10,3.25
Pb0.99Sn0.01Te,0.23
Zn3As2,1.1
BaIr2Ge4S6,1.54
Ba3GeS5,3.0
HgSe,0.32
EuSe,3.1
Tl4GaIn3S8,2.63
CaO,7.09
Li2B4O7,7.3
KI,6.17
KSbS2,1.6
Hg0.2Cd0.8Se,0.45
Pb0.85Sn0.15Se,0.14
Bi2Te2SO10,3.6
Hg0.06Zn0.94Te,2.12
KSm2CuS4,2.17
MgO,7.78
SnS0.25Se0.75,0.94
Rb9Bi13S24,1.3
La20Mo12O63Cl4,2.4
Bi3TeBO9,2.6
AgInSe2,1.18
Li2HgGeS4,2.46
In2Se3,1.2
PtSb2,0.08
FeAsS,0.4
Bi2O2CO3,3.42
Ge0.774Si0.226,1.5
Ba2V4Te3O18,2.64
CuP2,1.4
Pb0.999Sn0.001Te,0.32
TlInSe2,1.21
CuI,3.1
CdIn30Te46,1.17
CoPS,0.4
CsLaHgSe3,2.51
La6Sb4S3O12,2.6
Hg0.14Zn0.86Te,1.73
As2Se3,1.85
InP,1.34
TlPS2,1.7
Bi3Se2NO11,3.59
Pb0.65Se0.65Sn0.35Te0.35,0.09
FeSi2,0.88
GaAs0.2Sb0.8,1.02
In2Se3,1.25
Ni2Te3O8,3.84
LiSbTe2,0.13
Sr4V2Se6O21,2.66
LiBiS2,0.18
KH2PO4,6.95
Rb3Ag9P4S16,2.6
KZn4B3O9,2.32
AlP,3.0
CaS,5.4
InAs,0.42
Sr8Ga16Ge30,0.05
BiSBr,1.88
In2P3B1O12,5.39
Cs2PdSe8,1.5
Sb8O11I2,2.72
Ga0.01Sb0.01Zn0.99Te0.99,2.1
ScPdSb,0.23
Bi2Se3,0.35
RbCd4Ga5Te12,1.64
CuGaS2,2.4
InP,1.42
Ba3Nb2Se9,1.3
GaAs,1.52
Pb0.9Mn0.1Te,0.49
As2S3,2.23
Rb2GeB4O9,5.54
InSb0.1As0.9,0.14
CdSnAs2,0.3
CdS,2.6
Tl2SeAs2Te3,0.67
Pb0.9Se0.9Bi0.2Te0.3,0.25
GaSb,0.81
Pt0.97S2,0.95
ThOTe,1.45
CdSb,0.43
ZnO,3.48
CdTe,1.61
PbGa2S4,2.38
PbTe,0.22
Pb0.99Se0.99Ge0.01Te0.01,0.23
Cs2ZnGe3S8,3.33
Zn2MoSeO7,4.2
Pb0.01Sn0.99Te,0.3
Ga2Se3,2.3
Tb4Al2O9,4.59
Li2HgGe,0.93
CsAu,2.3
In0.5Al0.5P,2.4
PtS,0.38
Ba2SmTaO6,3.02
CeBiW2O9,2.34
Bi9O7.5S6,1.27
SbTeI,1.28
Rb2Cd3B16O28,4.76
K2Ta15O32,0.33
CdSe,1.87
Hg0.14Zn0.86Te,1.66
CdSb,0.54
Li2ZnSnS4,2.87
EuYb2S4,1.6
Rb2CuNbSe4,2.19
ZnTe,2.18
CsB3O5,7.42
SrTiO3,3.15
Pb0.9Ge0.1Te,0.35
Cu2Se,1.23
EuBi2Se4,1.02
KTi2F7,6.4
Mn11Si19,0.5
TlSe,0.7
Cd4LuB3O10,3.7
VO2,0.12
Cu0.8Ga1.2Se2.2,1.58
CdIn2Se4,1.72
Bi38ZnO58,2.88
KI,5.61
Na2Hg3Si2S8,2.86
RhSSe,0.7
SrPr2S4,2.7
CsAsSe2,1.86
GaAs0.86Sb0.14,0.66
PrFMoO4,3.64
Ge0.9355Si0.0645,1.04
PtAs2,0.5
CsYCdSe3,2.54
Cd4As2I3,1.89
AgInSe2,1.15
Ga0.4Al0.6As,2.3
Sc2S3,2.0
Zn0.85Hg0.15Se,1.8
CdIn2Te4,0.9
HgO,2.21
Zn0.01S0.01Ga0.99P0.99,2.25
Sb2S3,1.7
Tb2Mo3O12,1.6
GaSe,1.93
TaGaSe2,1.65
HfSe2,2.2
Ag2GeSe3,0.91
Rb3Bi2I9,2.1
CuInTe2,1.06
Cd0.55Te0.55Al0.45Sb0.45,1.93
AlSb,1.65
Hg2Cl2,2.84
Ag4Ba6Sn4S16,2.37
Nd2Te3,1.12
Ba2GaGdTe5,1.12
Mn3Ta2O8,1.89
Cs3Sb,1.6
GaSe,1.98
Gd2Se3,2.2
Rb2Cu2Sn2S6,1.44
LiI,5.62
Eu3S4,1.7
ZnSe,2.87
RbBr,7.7
BaHgS2,1.93
BaB2O4,6.43
Li9Ga13Te21O66,4.45
BiSb0.15,0.02
In2As2O5Cl2,4.62
CdTlS2,1.5
Cd3As2,0.14
InSb,0.25
Eu2O3,4.5
TlInS2,2.3
Na2PtI6O18,2.4
K6Nb1.07Ta2.93S22,1.88
OsSbTe,0.05
AlSb,1.62
SnS,1.42
Ag2O,1.59
InN,2.1
YVTeO10,2.2
PtSb2,0.11
Bi1.4Te3Sb0.6,0.17
KPbPO4,4.44
SiSe2,1.74
Na2Zn3Se4O12,4.9
PbTe0.05Se0.95,0.26
In4Te3,0.55
CsBiS2,1.4
Ba4CuInSe6,2.23
SrSnO3,4.1
VO2,0.5
Tl3VS4,1.97
CuCl,3.27
Na2Be4B4O11,7.3
Ce2S3,1.12
RhP2,1.0
Ga0.99As0.99Zn0.01Se0.01,1.39
Cd3As2,0.64
CuI,2.8
Ce2Ge2Se7,1.1
ZnAs2,0.91
NaBiS2,0.38
ZnO,3.46
Hg0.25Zn0.75Te,1.37
As2Te3,1.75
Eu7Ga6Sb8,0.6
ZnS,3.74
SmBiW2O9,3.39
CrSi2,1.3
PbS,0.41
Ga0.99Sb0.99Hg0.01Te0.01,0.72
YPtSb,0.16
ZnSe,2.71
OsSbS,1.2
Sb2S3,1.92
K4GeP4Se12,2.0
In0.3As0.3Ga0.7P0.7,2.05
NaAsSe2,1.75
TlCl,3.47
Cs2AgBiCl6,2.77
CdSnP2,1.5
CuGaS2,2.53
Ca3B2N4,4.1
BaUSe3,1.0
Sb2Se3,1.4
SmIn3S6,1.18
Cu0.5Pb1.75GeS4,1.48
ZnTe,2.26
PAs,0.23
FeAsSe,0.6
Sb2O3,3.31
KInGeS4,3.1
Ba2SnSe5,1.8
ZrS3,2.28
Mn15Si26,0.7
Pb0.94Se0.94Sn0.06Se0.06,0.19
Hg0.9Cd0.1Se,1.3
HoN,1.9
Zn3Sb2,0.2
Pb0.92Se0.92Sn0.08Te0.08,0.22
Ag3SbS3,1.81
Cs2Hg4.65Cd1.35S7,1.84
TiSe2,1.55
In0.7P0.7Ga0.3As0.3,1.58
SnI2,2.4
Pb0.85Se0.85Ge0.15S0.15,0.34
NaI,5.8
OsP2,1.13
CdSiP2,1.8
CuAlSe2,2.7
Cu3YbS3,1.56
Pb3BiP3O12,3.7
Ce8Sb2S15,1.99
Ba2Ca2B4O10,5.6
ZnSb,1.11
K2AgVS4,1.85
BaCuSbSe3,1.6
GaHSeO4,5.51
GaSe,2.15
Ga0.75As0.75Zn0.25Se0.25,1.51
ZnS,3.73
RbBiSe2,0.92
GeSe2,2.38
Cu0.4Ga1.6S2.6,2.45
ZnTe,2.37
ZnTe,2.34
Cs3Nb9Te4O32,3.22
Cd5Ga2S2Te6,1.29
AgSbS2,1.9
In0.01P0.01Ga0.99As0.99,1.43
BiCuOSe,0.82
Ce1.3Lu0.7S3,1.25
InP,1.35
LiGaS2,3.76
Ag2.7Ba6Sn4.3S16,1.58
Sm2YbCuS5,1.28
Pb0.85Sn0.15Se,0.13
K2Hg3Ge2S8,2.64
CsScSe2O6,5.2
CdTe,1.44
GaN,3.21
La2HfS5,0.7
PbSe,0.22
Ba2B4O9H2,5.12
ZrSe3,1.6
Cu2Se,1.5
InN,2.4
SnS0.01Se0.99,0.89
Mg3Sb2,0.8
ZrC,0.6
NaI,6.75
CdSnP2,1.17
CsBiS2,1.39
ZnSe,2.69
Sr2ScSbO6,3.57
CdGa2S4,3.44
KBiSe2,0.67
HgTe,0.18
La3FMo4O16,3.7
TlN3,3.58
Sb2Se3,1.13
VO2,0.4
Cs4Th2P6S18,2.8
CsSbTe2,0.43
Ga0.6In0.4As,0.81
In0.99As0.99Cd0.01Te0.01,0.76
Ga0.5In0.5As,0.75
PbSe,0.29
TbIn3S6,1.2
PbCoO3,0.28
KSbSe2,1.72
RbH2I3O9,4.07
EuN,1.25
CuAlTe2,2.06
Bi2Te0.3Se2.7,0.24
La2Se3,1.97
Tl3VS4,1.7
Na2Ti3O7,3.51
Pb0.995TeIn0.005,0.43
CdSe,1.85
In0.9As0.9Ga0.1P0.1,0.45
RbCaBO3,3.67
CuInS2,1.57
ZnO,3.2
KGaSe2,2.6
Ga0.9Sb0.9Zn0.1Te0.1,1.0
PdTe2,1.8
CuGaSe2,1.71
Tl2S,1.0
ZnS,3.68
CdAs2,1.0
CdSe,1.86
GaTc,1.42
GaAs,1.52
Pb0.85Sn0.15Te,0.15
Pb0.77Sn0.23Te,0.04
CdSiP2,2.2
SbSI,1.93
In6Se7,0.34
Sb2Se3,1.15
InP,1.42
GaAs0.8P0.2,1.62
Bi24BO39,2.91
Cu2MgGeS4,2.36
BaGa2GeS6,3.26
K10Co4Sn4S17,1.31
PbS,0.31
K2.15Pb1.7Sb8.15Se15,0.6
PbS,0.38
CdS,2.66
CsAsSe2,2.0
TlCr5S5Se3,0.89
AgSbTe2,0.48
NaInTe2O6,4.0
CdS,2.58
Pb3Cl4TeO3,3.79
Na0.5Pb1.75GeS4,2.08
LiAsS2,1.6
Cs4Ag9Sb4S12,2.0
RuP2,1.0
ZnO,3.26
AgGaS2,2.64
CaI2,5.98
GaAs0.99P0.01,1.37
PbTe,0.22
Nd2O3,4.4
GeO2,5.54
RbPbPO4,4.35
Li2MoTeO6,3.5
CuIn3Te5,1.01
LiGd5P2O13,3.73
AgS,1.34
Li2HgSiS4,2.68
InN,2.21
CdSb,0.53
