composition,Eg (eV)
EuTb2Se4,2.0
As2S3,2.6
GaSe,2.07
CdGa2Se4,2.41
CdSiAs2,1.51
KBiCu2S3,1.29
PbSe,0.28
ZnIn2Se4,1.95
InSe,1.29
In2Bi3Se7I,1.38
SbSBr,2.22
Pb0.99TeIn0.01,0.53
K2MnSnSe4,1.7
IrSe2,0.9
VFeSb,0.46
LaGaS3,2.5
CsBi2,0.55
PbSnS3,0.9
GeSe,1.38
CaTe,4.3
ZnIn2Se4,2.05
RbNbSe2O7,4.1
HgIn2Te4,1.17
CdS0.55Se0.45,2.05
K2S,2.1
Zn0.99Hg0.01Se,2.6
Tl4CdI6,2.8
Cu0.1In1.9Se2.9,1.45
PbTe,0.33
BaSe,3.7
HgBr2,3.59
Cd3P2,0.53
Ga1.1Sb0.9Te0.3,0.7
Ag2O,1.6
Cd3Sb2,0.3
CsTm9Cd4Se18,2.16
Bi2Te0.4Se2.6,0.7
EuTe,2.06
NaYTe4O10,3.9
K2La2Ti3O10,3.05
Pb0.99Ge0.01Se,0.27
TlInTe2,0.62
K2Mo2Se2O11,3.3
ZnIn2S4,2.6
PbBr2,3.31
As2S5,2.48
LaCuOSe,2.83
NaH3Se2O6,4.9
IrSSe,1.2
GeS,1.68
MgO,7.7
SbSI,1.95
GaN,3.5
Cu2ZnSiTe4,1.47
OsAs2,0.92
Pb0.85Sn0.15Te,0.23
KIO3,4.02
Hg4As2UCl6,1.9
AgNb2PS10,1.78
Sm3S3BO3,2.5
GdScS3,2.1
In6S7,0.89
EuIn2Se4,1.31
Cs2AgBiBr6,2.19
Pb0.9Sn0.1Se,0.17
PbS,0.39
CdSiP2,2.4
OsSb2,0.21
CeTaN2O,1.9
Ag3AsS3,2.03
Ce4InSbSe9,1.69
YN,1.9
CdSnP2,1.16
TbClWO4,4.24
CdIn2Se4,1.3
RbCl,8.5
ZnAs2,0.92
CoSb2,0.2
SnS0.99Se0.01,1.11
BaPdI4O12,1.97
Fe2O3,2.2
Hg0.2Zn0.8Te,1.4
Ge0.88Si0.12,0.84
GaSe,2.1
NaSbP2S6,2.17
K2Ge3B2O10,5.38
Bi2S3,1.4
Pr2GeSe5,1.8
SrTiO3,3.4
Ag3SbS3,2.02
As2S3,3.0
Rb2CuVS4,1.85
Rb4Mo5P2O22,3.51
InAs,0.43
Ag3SbS3,2.33
GaAs,1.52
Cu3TbSe3,0.16
Sm2Se3,2.3
AgInS2,1.9
Cs4Cu3Bi9S17,0.6
Bi2V2Se4O16,2.2
CdIn2Se4,2.0
In0.99P0.99Ga0.01As0.01,1.3
NaBr,7.26
CdGeAs2,0.65
OsSb2,0.2
GaAs0.01Sb0.99,1.37
BiBr3,2.66
Ga0.99Al0.01P,2.27
CdSb,0.46
ReSe2,1.15
Pb2BO3Cl,3.99
Pb0.96TeIn0.04,0.37
CsInSe2,2.81
In0.6As0.6Ga0.4P0.4,1.25
Ga0.5As0.5Zn0.5Se0.5,1.52
Na2CsSb,0.8
ZnIn2Te4,1.87
Ag3AsSe3,2.2
K10Co4Sn4S17,1.8
OsPS,1.4
CuGa1.6In0.4S3.5,2.15
Cu3SmS3,1.82
ZnGeAs2,1.1
InSb0.01As0.99,0.17
Gd2Mo3O12,4.18
PbBr2,3.5
Ba2BiInS5,1.55
Cu2CdSnSe4,0.96
Li3ScN2,2.9
InBi2Se4Br,1.21
GeS2,3.54
Pb0.999TeIn0.001,0.3
CuSbS2,1.38
CaO,7.03
LiMoIO6,2.8
Hg0.9Cd0.1Se,1.32
Pb0.8Ge0.2Se,0.35
TlSbS2,1.42
Cs2Hg3I8,2.56
Ba2InSmSe5,2.22
K2Al2B2O7,6.89
PbTe,0.21
CuInS2,1.54
AlSb,1.32
Zn0.9S0.9Ga0.1P0.1,2.8
Ag2O,1.4
Sb2Te3,0.3
CsHgInS3,2.3
Ge0.542Si0.458,2.24
CuInTe2,0.89
HgGa2Se4,1.95
Sr3Ti2O7,3.26
RuTe2,0.25
CdTe,1.53
CuInGeSe4,1.3
Zn3V2TeO10,2.96
Zn3As2,0.51
K2Hg3S1.03Se2.97,2.11
NaSbP2S6,2.25
YNiSb,0.18
NaAsSe2,1.57
PbI2,2.41
As2S3,2.1
RbMn4Ga5Te12,1.53
Cs2Hg5.75Cd0.25S7,1.66
CsI,6.4
Se2B2O7,4.64
Cd3P2,0.5
SiTe2,1.85
Cs2PdP2Se6,1.6
Cu2SnSe3,0.7
LaCuOTe,2.31
BaSi2,1.3
K2CeP2O8,2.46
GaAs0.6P0.4,1.91
Li2HgSnS4,2.32
NaCl,8.5
Pb0.95Ge0.05Te,0.34
InN,2.09
KI,5.92
As2Te3,1.62
BSb,2.6
CrO3,1.4
Mg3As2,2.2
CsCu2SbS3,1.63
AsI3,2.47
Hg2Cl2,3.8
Bi2Cu0.96Se3I,0.68
CdS0.01Se0.99,1.68
NaAsSe2,1.56
TlSe,0.96
Rb4Ag9Sb4S12,2.0
AgIn9Te14,1.5
Ba2SnSe4,1.9
SnS,1.26
BiOCl,3.46
ZnO,3.44
TiNiSb,0.42
ZnS,3.67
Cu0.01Ga1.99Se2.99,1.99
Na8Al8Si38,0.64
AgI,2.92
Cu0.3Ga1.7S2.7,2.6
Ge2Sb2Te5,0.5
CsPbPO4,4.39
KH3Se2O6,4.9
PdPAs,0.45
K2Sm2Ti3O10,3.26
Sn2WO5,2.6
Pb0.95Se0.95Sn0.05Se0.05,0.19
Ga2O3,4.4
SnSe2,1.62
Ga2O3,4.54
RbBiS2,1.2
NdB6,4.9
GaAs0.5P0.5,2.0
CsZn4In5Te12,1.61
NiP2,0.3
CsYbMnSe3,1.59
Ba4AgGa5S12,2.52
KInS2,3.0
Ag2HgI4,2.47
K10Zn4Sn4S17,3.1
Gd1.87Lu2.13Se6,1.56
Cs2SnP2Se6,2.06
AgInSe2,1.2
CoTe1.88,0.2
SrIr4In2Ge4,0.25
NaSbF6,3.76
Cu3GdTe3,0.52
RbI,6.26
Cu0.99In1.01Se2.01,1.08
In0.5Ga0.5P,1.9
Ge0.9Si0.1,0.8
EuO,1.12
TlGaSe2,1.65
NaCl,8.4
In4Se3,0.64
CsErZnSe3,2.63
InSe,1.3
NaGaGe3Se8,2.35
Bi3F3I4O13,3.7
Pb0.94Sn0.06Se,0.22
RbInGeS4,3.1
Cu2Se,1.1
AgF,2.8
KSbSe2,1.65
Cu2Ga4Te7,1.18
Sm2Sc3,2.3
ZnO,3.25
CdSnAs2,0.41
Cd4As2I3,2.3
WSe2,1.35
Ba3B1.5S6Bi0.5,2.43
Hg2Br2,2.6
CdSb,0.42
GaN,3.48
BaSnO3,3.1
Cs8Ga8Si38,1.14
Ca5B3O9F,6.53
PrO,0.55
In6Se7,0.86
TlBr,3.12
Hg6As4CdBr6,1.89
YB66,0.8
Bi3Ge3O10.5,3.3
Cs3Bi,0.7
V2O5,2.32
GdB6,3.6
La2S3,2.77
Zn3As2,0.93
Li4.5Mn0.5TeO6,1.97
Rb2Te,4.5
InSb0.4As0.6,0.1
Ce3MoO7,2.0
Cs2TiAg2S4,2.44
InP,1.42
Ga0.1As0.1Zn0.9Se0.9,2.34
Zn3As2,0.96
Ag0.4Cd0.2In2.4Te4,0.42
PbS,0.44
Y3GaS6,2.88
Sc2O3,6.2
Y6ZnSi2S14,2.38
Tl2Cu2SnS4,1.4
Ba3MgTa2O9,4.28
Na3ZnB5O10,3.2
LiBiS2,0.19
GaAs,1.51
KNbSe2O7,4.0
NiP2,0.73
ZnO,3.42
GaSe,2.12
CdGeAs2,1.1
InS,2.07
Nd2S3,2.65
HfO2,5.55
Rb2TiAg2S4,2.33
AgInSe2,1.24
La3InGe0.5S7,2.61
Ba2InYSe5,2.31
Pb0.8Se0.8Bi0.4Te0.6,0.22
Pb6Sb6Se17,0.8
Ba2GaBiSe5,2.21
GaSe,2.1
As2S3,2.8
As2S3,2.57
CdSe,1.87
K2Cu2Sn2Se6,1.04
TlCuCl3,2.98
Er2Mo3O12,0.96
Ba4Ge3Se9Cl2,1.89
Eu3As2,0.6
HgCl2,4.45
SrO,5.77
Zn3As2,1.0
TlSe,0.8
AgInO2,4.2
BaPdSe6,2.15
AgS,1.3
Cu3HoTe3,0.26
ZnTe,2.37
SbI3,2.49
K4Ba2Nb4S22,1.77
SnSi,0.59
CoSbS,0.11
InAs,0.41
Pb0.999TeTl0.001,0.3
Ge40.0Te5.3I8,0.8
Ag3AsSe3,2.18
Cs2Cd3Te4,2.48
Ba3BSbS6,2.62
Ba2GaNdSe5,2.18
ZnGeP2,2.0
K2CuGa3Se6,1.72
CdSiAs2,1.62
NaBiSe2,0.35
Bi2Te2.1Se0.9,0.29
Ta0.67Zr1.33O1.38N1.97,2.31
Cd8B5O15F,3.14
As2Te3,1.59
Hg0.08Zn0.92Te,1.9
TlHgInS3,1.74
KTiPO5,3.54
RbI,6.25
GaS,2.59
EuIn2Te4,1.22
As2S3,2.37
Tb2O3,3.0
LiGaS2,4.15
K2TiCu2S4,2.04
KAu5PS8,2.14
GaAs,1.51
Tl4Ta2S11,1.26
Pb0.6Ge0.4Te,0.51
ZnS,3.7
CrTe2,0.17
CuCl,3.2
PbS,0.28
Bi2O3,2.86
CuFeTe2,0.16
Pb0.85Se0.85Sn0.15Se0.15,0.22
Hg0.4Cd0.6Se,0.7
AgAsTe2,0.8
SbSi,1.9
GaAs,1.51
Hg4As2CdI4,1.45
Cu0.9In1.1Se2.1,1.06
Cs4BiAs3Se7,1.02
SrMgSnSe4,2.0
Pb2BO4H,3.76
K4Nb2S11,1.96
LiAsSe2,1.11
K2Sn3Sb2S10,2.3
NaSbS2,1.48
CuCl,3.28
PbO2,1.4
ZnO,3.45
CdS,2.42
GeSn,0.8
Bi1.6Te3Sb0.4,0.16
AgInS2,2.0
MnF2,9.9
CuGa2Se4,0.63
La8Sb2S15,2.3
Zn3Sb2,0.22
NaCl,8.6
Ag5IO6,1.4
Ta0.67Zr1.33O0.42N2.61,1.93
InSe,1.26
GeS,1.69
Tl2GeTe3,0.37
ZnGeP2,2.1
Zn2LiGaO4,4.0
BiIO3F2,3.97
TlSbTe3,0.38
GeSe2O6,5.31
Pb0.87Sn0.13Se,0.02
Cu3AsSe4,0.65
AgTe,0.73
Cd3Bi2,0.2
RbBi3Se4Te,0.8
DyAs,1.0
Bi25TiO39,3.1
Rb2TeBr6,2.14
In2Se,0.69
GeAs,1.45
YVSeO10,2.7
InSb,0.24
KCu4AsS4,1.9
K2ZnSn3S8,2.3
B2O3,4.9
PdS2,0.75
GaS,2.59
AgScO2,3.8
ZnIn2S4,2.86
CdSiP2,2.16
CdGeAs2,0.53
Gd2Mo3O12,4.06
PbS,0.42
AgGaTe2,1.1
ScTiNbO6,3.58
La3Sb0.33SiS7,1.92
Cd4Sb2I3,1.83
Ga2GeTe3,0.85
Pb0.99Sn0.01Se,0.16
GaAs0.15Sb0.85,1.1
LiInS2,3.57
Cu0.7In1.3Se2.3,1.1
PbSe,0.15
Ga0.95Sb0.95Cd0.05Te0.05,0.74
Cu0.3In1.7Se2.7,1.21
Cu0.15Ga1.85Se2.85,1.92
GeO2,5.56
CsYHgSe3,2.54
Pr2Se3,1.8
Pb2N2SeO9,3.76
Tl2BiP2S7,1.8
SnS0.4Se0.6,0.98
GeS,1.74
Pb0.999Se0.999Sn0.001Se0.001,0.32
In2Se2O7,2.97
NH6PO4,6.81
In2Se3,1.0
SiSe2,1.73
NaInSnS4,2.4
Cs2TeBr6,2.12
K0.6Cs0.4PSe6,2.1
Ca2Ge,1.0
Zn2In2S5,2.7
CuGaO2,1.47
Ni2InVO6,1.92
PrB6,4.9
Rb2Mo3Se3O16,3.1
CdS,2.43
Ga1.001Sb0.999Se0.003,0.71
BaGa4S7,3.54
CuIn3Te5,1.2
LiMgAs,0.7
InSb,0.18
Ba2ZnV2O8,3.48
TlSe,0.57
Bi2SI2O11,3.74
Pb0.99Ge0.01Te,0.32
ZrSe3,1.25
ZnTe,2.26
ZnSb,1.05
Rb2AgPS4,2.6
BaCu2SnSe4,0.48
BiPO4,3.85
Na2Se,2.0
InAs,0.35
La4FeSb2S10,1.0
GdSb2BO8,3.48
SbSeI,1.68
SiSn,0.59
Ba2Ga8SiS16,3.4
PbS,0.37
RbI,6.37
Cu3AsS4,1.48
Ag3SbS3,2.1
K2Cu2Sn2S6,1.47
Zn0.8Hg0.2Se,1.4
EuO,1.12
Ag2V2I4O16,2.24
GaAs0.1P0.9G1128,1.22
HgO,2.48
NaNb2PS10,1.72
CuGa3Se5,1.75
Zn2MoTeO7,4.1
TlInS2,2.25
ScTa2O5N,2.67
AgInS2,1.88
CdAs2,1.13
Ag0.25Cd0.5In2.25Te4,0.39
In6S7,0.95
TbSb2BO8,3.53
TlPrSe2,1.18
GeSe2,2.3
ZnO,3.44
ZnTe,2.1
In2Se3,1.38
Ag2SnSe3,0.84
AgGaSe2,1.3
CdSnAs2,0.31
InSb0.5As0.5,0.1
B4C,1.64
GdH2NO5,4.84
Cu2GeSe3,0.85
GaAs0.7Sb0.3,0.67
PbI2,2.55
ZnO,3.44
GaN,3.48
PdO,0.8
Tl2TeS3,1.6
AgFeTe2,0.58
ZnS,3.82
CaPr2S4,2.9
Hg0.1Cd0.9Se,0.35
InP,1.42
InSb,0.23
Ba2BiGaS5,2.38
Cd3As2,0.19
Bi24VO41,3.25
V2O4,0.66
SnS,1.3
Pr1.29Lu0.71S3,1.38
AgAsSe2,1.4
TlInSe2,1.1
InAs,0.33
TaGaSe2,2.12
AlN,6.03
Sr8.007Ge2.043Bi7.949Se24,0.74
Zr3O,0.2
TlCr5S8,1.01
Cu3TbTe3,0.46
Na2CdGe2S6,2.57
La2Ga2GeS8,2.78
CsLuCoS3,1.18
La2MoO5,0.49
Ba7B3O9F5,4.94
Ag2GeSe3,0.9
In2Se,0.65
Ge0.4Si0.6,0.94
CdIn2Te4,1.17
BaTaO2N,1.78
SnS0.25Se0.75,0.99
Ag3AsS3,1.98
Ge0.838Si0.162,1.32
DyPO4,6.38
HoIn3S6,1.23
Ag2S,1.23
PbTe,0.36
GaBi,0.1
CsInGeSe4,2.32
ZnSe,2.82
RbNb4Br11,0.46
CuP2,1.45
PbSe0.95S0.05,0.26
K3Ti2P5S18,1.61
Ba3FeS4Br,1.65
CdP4,1.15
PrIn3S6,1.14
SiAs2,0.88
ZnIn2Te4,1.8
Eu3Sb4Se9,1.08
Ca4Bi6O13,2.76
PrCuOS,3.03
Cu0.05Ga1.95S2.95,2.64
H6PtI6O20,2.12
TlBr,3.3
Hg0.77Cd0.23Te,0.12
PbTe,0.3
Cu2WSe4,1.65
SnTe,0.3
Li2In2SiSe6,2.54
In0.3P0.3Ga0.7As0.7,1.67
GaAs0.2P0.8,2.2
RbCd4In5Se12,1.57
Sm3Te4,0.51
YbSb4Te7,0.22
CsLiB6O10,6.89
DyN,2.1
Zn0.85S0.85Ga0.15P0.15,2.4
K8Ce2I18O53,2.34
Rb3Al3Ge7S20,3.1
Ba3Er2P4S16,3.3
Li2ZnGeSe4,1.86
CaO,6.93
PbBiO2Br,2.3
Tl2GeTe3,0.36
Bi12TiO20,3.09
WSe2,1.57
PrLuSe3,1.56
BP,4.2
KSb5S8,1.82
Ga1.02Sb0.98Te0.06,0.68
VO2,0.66
GdTe,1.3
Pb0.59Ge0.41Te,0.49
ZnSe,2.83
CuZn2InTe4,1.05
Ba8Hg4S5Se7,1.98
GaAs,1.44
Pb0.9Se0.9Sn0.1Se0.1,0.24
CdSb,0.47
La2O2ZnSe2,3.4
AgFeSe2,0.23
CuBr,3.07
GaSe,2.12
TlPSe2,0.5
In0.97As0.97Cd0.03Te0.03,0.71
WO3,2.7
Hg2Cl2,3.5
GaAs,1.51
Sb2S3,1.69
K2Ag3Sb3S7,2.2
AgGaS2,2.73
InS,2.45
Bi1.98Te3Sb0.02,0.14
K2ReH9,5.71
TlPSe2,0.6
AgGaSe2,1.66
Eu3Se4,0.58
Ge0.999Si0.001,0.65
Hg2Cu3Te6O16,2.56
Ag8SnSe6,0.71
MgO,7.67
Bi2AsO4Cl,3.43
Cs2TeI6,1.5
ZnSnAs2,0.9
Cd4YB3O10,3.78
LiZnBO3,3.1
AgSbS2,1.88
TiTe2,1.0
Pb2SbS2I3,2.0
Cs3Bi2Br9,2.5
La3Mg0.5SnS14,1.71
ZnIn2S4,2.85
CdS,2.6
TlBiTe2,0.12
Sc2O3,6.0
InSe,1.12
GaSb,0.73
BaGa2SiSe6,2.88
Ba2InGdSe5,2.24
Cu3Ta7O19,2.47
GaP,2.77
PbTe,0.19
PbSe,0.14
K1.83Cd1.83Bi2.17S6,1.37
In4Te3,0.42
Ag3AsSe3,1.86
CsCd4In5Te12,1.42
Ce4Ge3S12,2.3
Tl2Hg3S4,2.05
CuGa3Te5,1.09
CuPbBiS3,0.12
CsCaBO3,4.2
Hg0.65Cd0.35Te,0.28
TlGaTe2,1.8
Cu3GdS3,1.62
Cu3TmTe3,0.14
LiBi3O4Cl2,3.35
As2Se3,1.81
TlCl,3.46
KSi2P3,1.72
NaNO2,3.13
NaBiS2,0.42
AgSbSe2,0.67
La2YbCuS5,1.45
In0.1P0.1Ga0.9As0.9,1.6
CdSe,1.82
Mg2Sn,0.14
ZnAs2,0.9
Ag7AsSe6,1.0
Ag2CdGeS4,2.32
InP,1.28
AgLi0.33Ti0.67O2,2.7
YbGa2Se4,1.8
Pb0.8Sn0.2Te,0.11
Ba4B11O20F,7.1
GaSe,2.11
CrSb2,0.14
ZnIn2S4,2.5
Cd3As2,0.12
Bi2Te1.2Se1.8,0.28
Cs2B4SiO9,6.53
Cs10Cd4Sn4S17,3.16
TlInS2,2.52
KIO3,3.71
Rb2Hg3Ge2S8,2.8
Rb2TeI6,1.4
SbSI,1.96
GeSi,0.88
Cs5P5Se12,2.17
NaAsS2,2.23
Ho2GeS5,2.5
La2Se3,1.7
TaGaS2,3.4
MnP4,0.28
CdSe,1.82
K10Zn4Ge4S17,3.34
YbS,0.98
Tl2Au2Sn2Se6,1.2
LiInI4O12,4.27
TeSe3,1.87
Ga0.65Al0.35As,2.0
K2Bi8Se13,0.47
Zn6S5Cl2,2.71
CuInSe2,0.8
CuInTe2,0.88
CsCl,7.8
Pb0.999Se0.999Bi0.002Te0.003,0.79
Ag2O,1.57
Pb3B3O10N,3.64
MnVTe2O8,1.9
Cd0.99Te0.99Al0.01Sb0.01,1.6
KTbSe4,1.65
GaAs,1.42
SrBiO2Cl,3.52
FeSi2,1.0
Ho2Mo3O12,1.07
K2SmP2S7,2.59
K10Zn4Sn4S17,3.2
CdS,2.58
CdS,2.52
AlSb,1.7
Li0.2Na0.8AsSe2,1.57
Mg2Sn,0.35
Ba5V3O12F,3.85
LiI,6.0
NaCd4P3,1.1
AlSb,2.22
AlSb,1.49
ZnMoSb2O7,3.3
AsSeI,1.76
InS,2.06
In0.94As0.94Cd0.06Te0.06,0.68
TlN,1.4
NaInI4O12,4.25
ZnSb,1.09
AgAlO2,3.6
KF,10.3
PbSe0.9S0.1,0.27
AgAlTe2,1.9
Ba2AgInS4,2.32
PbTe,0.29
PtPAs,0.4
Tl2CeP2S7,2.4
LiPbSb3S6,1.6
Cd2V2Te2O11,2.48
TlCl,3.8
As2S3,2.45
SnGa4Se7,2.55
Ho2O3,5.42
Cd3P2,0.59
Ba2GaSbTe5,1.66
Hg0.7Cd0.3Se,1.1
PbSe,0.26
PbS,0.6
PbI2,2.54
GaAs,1.48
InP,1.41
In0.9Al0.1P,1.5
SnS,1.22
CdS,2.53
ZnO,3.35
K5In3P6Se19,2.2
H2Ti6O13,3.4
Li2B12Si2,2.27
PbSb2Se4,1.8
PdS,0.5
Cd0.9Te0.9Al0.1Sb0.1,1.36
KAuI4O12,2.75
CsCl,8.1
Ba3Tb2P4S16,3.37
KBiSiS4,2.25
Ba4Si3Se9Cl2,1.76
FeIn2Se4,1.15
FeSc2,0.77
Cs3Nb2AsSe11,1.35
K3Ta2AsS11,2.21
Ba5Ga6SnP12,1.21
DyIn3S6,1.22
InP,1.41
Pb4V2Se6O21,3.37
EuGa2S4,2.25
ZnTe,2.28
PbCdP4O12,4.85
Mg2Pb,0.15
Na2CdSnS4,2.52
ThOSe,1.65
PbTe,0.19
SbI3,2.22
CdIn2S4,2.0
HgSe,0.24
Tl3CuNb2Se12,0.8
YH2NO5,4.83
Mg3P2,1.4
Zn0.4Hg0.6Se,0.42
InSb,0.27
Rb3Sb2I9,1.94
In0.6Al0.4P,2.12
Li2CdGe,0.99
ZnSiP2,2.07
Bi2O3,2.91
CdTe,1.45
In6Se7,0.72
BaTiO3,3.04
NaInS2,1.9
CdGa2Se4,2.48
Cs2CdP2Se6,2.63
EuTe,1.96
Pb0.93TeTl0.07,0.54
ErBiW2O9,3.26
Cu2Se,1.29
LiAsSe2,1.5
LiGaGe2Se6,2.64
Eu3In2P4,0.45
GdAs,0.63
CsGaS3,3.0
AsNMg3,1.33
Ba2InErSe5,2.29
CsPSe6,1.9
Sb2Se3,1.11
BiSCl,1.89
Hg0.63Cd0.37Te,0.35
CdS0.8Se0.2,2.23
Gd2S3,2.55
Na2TeS3,2.35
AgPbBiS3,1.2
Hg4As2ZrCl6,2.48
BaBiO2Cl,3.71
CdSnAs2,0.4
CdGeAs2,0.85
RbYbZnSe3,2.07
CdGeAs2,0.72
Cd4As2Br3,1.78
NaInTe2,1.6
FePS,0.25
PtSb2,0.06
Tm2O3,4.53
PtAs2,0.8
K1.46Sn3.09Bi7.45Se15,0.39
NaBa2Cu3S5,0.45
GaN,3.39
RuS2,1.8
KEuAsS4,1.89
TlSe,0.65
Cu3YbSe3,0.2
Pb0.96TeTl0.04,0.57
Pr2Se3,1.9
Li2FeSnS4,1.86
InAs,0.47
PbGa2Se4,1.83
Mg2Pb,0.04
Ba2B6O11,5.17
As2B12,1.51
TlAsS2,2.22
PbO2,1.5
SeS,1.9
Pb0.99TeGa0.01,0.42
BaRh2Ge4Se6,1.09
CsGeI3,1.6
RbBiS2,1.36
Rb1.45Pb3.1Sb7.45Se15,0.45
SmTe,0.62
MgSiN2,4.05
MgTe,3.6
Ba2InDySe5,2.27
Ba4AgInSe6,2.41
KH3Se2O6,4.88
ZnTe,2.3
B2O3,4.89
BiFSeO3,3.83
Pb0.9Sn0.1Te,0.16
ZnIn2Se4,1.82
Ag2ZnSiS4,3.28
Bi2Te3,0.25
CdSe,1.84
MoO3,3.66
Zn2In2S5,2.65
PbO2,1.7
Si2Te3,2.18
InP,1.35
LaVI5O16,3.58
KBiS2,0.9
CdSe,1.7
BAs,1.45
CdSb2Se3Br2,1.4
BaZn2As2,0.23
ZnSnAs2,0.67
YbSb2S4,1.12
HgTe,0.15
CdTe,1.56
AgCl,5.13
CuInSe2,1.01
TlSbSe2,0.82
GeS,1.59
Th2GeSe2,1.98
Rb2Cu2Sb2S5,1.6
CuGaS2,2.43
Ba1.88Ta15O32,0.13
Cs6Na2Zn4Ge42,0.3
Cu0.35Ga1.65S2.65,2.53
Li4.5Ga0.5TeO6,4.99
KGaSnSe4,1.73
AlN,6.09
Cu0.95In1.05Se2.05,1.07
Cu2Te,1.08
CdIn2Se4,1.45
Cu2SnSe3,0.83
Hg0.8Zn0.2Te,0.08
BaSe,3.6
Zn0.3S0.3Ga0.7P0.7,2.3
TeI4,1.1
KSbS2O8,4.64
CdS0.99Se0.01,2.4
RbCl,8.29
Ba2InNdTe5,1.37
Ba2GaSmSe5,2.27
ZnI2,4.53
K2CuNbSe4,2.14
InBi2S4Br,1.5
Ga0.01P0.01Zn0.99Se0.99,2.6
TiS3,0.9
ZnSe,2.8
Hg2I2Te2,1.85
SbSI,1.92
Cs2MgSn3Se8,1.92
