4-BLOCK POLYMER,Total Dielectric Constant
CH2-CO-NH-CS,4.349
CH2-CS-C6H4-O,4.039
C6H4-C6H4-C4H2S-CS,5.761
CO-O-C4H2S-CS,4.663
C6H4-CS-C4H2S-O,4.133
CO-C6H4-O-CS,4.726
C6H4-O-CS-C4H2S,4.791
C6H4-C4H2S-C6H4-C4H2S,4.037
NH-C4H2S-CO-C4H2S,7.478
CH2-NH-C4H2S-CS,5.702999999999999
NH-C6H4-CO-C6H4,3.786
NH-CO-CS-C4H2S,7.763999999999999
CO-C6H4-O-C4H2S,4.354
C6H4-CS-C4H2S-CS,6.06
CH2-C4H2S-NH-C4H2S,3.574
CH2-C4H2S-C6H4-C4H2S,3.638
CH2-NH-C6H4-CO,4.372
CO-C6H4-C4H2S-CS,5.051
C6H4-C6H4-CS-O,4.114
CH2-NH-C4H2S-C6H4,3.912
NH-C4H2S-C4H2S-CH2,4.257
CH2-C4H2S-C6H4-CS,4.051
CH2-NH-CS-C6H4,3.6830000000000003
CH2-C6H4-C4H2S-C6H4,3.5980000000000003
NH-CO-C4H2S-C6H4,5.115
NH-CO-CS-CO,5.343999999999999
CO-C6H4-C6H4-C6H4,4.048
CH2-CH2-C4H2S-O,3.342
NH-CS-CO-CS,7.891
CH2-C6H4-CS-O,3.523
CH2-CO-C4H2S-CS,4.335
C4H2S-C4H2S-C4H2S-O,5.131
CO-C4H2S-C6H4-CS,5.292000000000001
CH2-C6H4-NH-O,3.5260000000000002
NH-CS-NH-CS,5.2860000000000005
CH2-NH-CS-NH,4.668
NH-C4H2S-C4H2S-CO,6.377000000000001
CH2-C4H2S-CS-O,4.273
NH-CO-C4H2S-O,4.388999999999999
CH2-C4H2S-C6H4-O,3.764
C6H4-C6H4-C6H4-C4H2S,4.673
NH-C6H4-CO-O,4.348
NH-C4H2S-CO-O,4.851
NH-CS-NH-C6H4,5.434
CO-CS-O-CS,5.169
CH2-NH-CH2-CS,3.9810000000000003
CH2-CH2-NH-C6H4,3.3169999999999997
C4H2S-C4H2S-C4H2S-CS,10.725999999999999
CH2-C6H4-C6H4-O,3.437
CH2-CO-C6H4-CS,4.2139999999999995
CO-C6H4-C6H4-CS,4.941
CH2-CH2-CH2-CS,3.185
CH2-C6H4-CH2-O,3.322
CH2-O-CO-O,3.3480000000000003
NH-C6H4-CS-C6H4,6.0089999999999995
CH2-CO-C6H4-O,3.659
CH2-NH-C4H2S-NH,3.822
CH2-C6H4-CO-O,3.532
NH-C4H2S-NH-CS,5.385
CO-C6H4-C4H2S-O,4.184
NH-C4H2S-O-C4H2S,3.734
CH2-NH-CH2-CO,3.3510000000000004
NH-CO-NH-C6H4,4.215
CH2-C6H4-NH-CS,3.472
CH2-CH2-CH2-O,2.8360000000000003
CH2-CS-CH2-O,3.634
NH-C6H4-C6H4-O,4.418
CH2-C4H2S-NH-CS,4.155
CH2-C6H4-O-C4H2S,3.305
CH2-CH2-CO-C6H4,3.585
CO-C4H2S-C4H2S-CS,5.854
CH2-C6H4-O-C6H4,3.26
CO-C4H2S-C6H4-O,4.978
CO-C4H2S-CO-O,4.352
CH2-CS-C4H2S-O,4.913
CH2-O-C4H2S-C6H4,3.596
CH2-C4H2S-CO-C4H2S,4.672
CO-C6H4-CO-O,4.48
CH2-CH2-CO-C4H2S,3.762
CH2-CO-CS-C6H4,4.205
CH2-CS-CO-O,3.8930000000000002
NH-C4H2S-NH-C4H2S,3.843
C6H4-CS-C6H4-CS,3.543
CH2-C6H4-CH2-C6H4,3.207
CH2-C4H2S-O-CS,3.846
CO-C6H4-C6H4-C4H2S,5.5089999999999995
CH2-CH2-NH-C4H2S,3.5260000000000002
CH2-CH2-CO-O,3.092
CH2-CO-CS-C4H2S,4.357
CH2-C6H4-CH2-CS,3.41
CH2-C6H4-NH-C6H4,3.677
C6H4-C4H2S-C6H4-O,4.455
C6H4-C4H2S-O-CS,4.567
CH2-C4H2S-C4H2S-CS,4.877
CH2-CO-CH2-O,3.5610000000000004
C6H4-C4H2S-C4H2S-C4H2S,7.865
CH2-C4H2S-NH-O,3.82
CH2-CO-C6H4-C4H2S,3.875
NH-CO-O-C4H2S,4.242
CH2-C4H2S-CO-O,3.802
CH2-CS-C6H4-NH,5.047
CO-O-C6H4-CS,4.216
NH-CO-C4H2S-CS,4.908
NH-CO-O-CS,5.496
CH2-NH-CS-CO,4.795
CH2-CO-C4H2S-O,4.026
CH2-CH2-C6H4-O,3.233
CH2-C6H4-CS-C6H4,3.687
CO-C6H4-CO-C6H4,4.132
CH2-C4H2S-CH2-O,3.623
CH2-NH-C4H2S-CO,4.6739999999999995
CH2-NH-C6H4-NH,3.738
NH-CS-O-CS,4.83
CH2-C6H4-O-CS,3.344
NH-CS-C4H2S-O,5.1370000000000005
CO-C6H4-C6H4-O,3.659
CH2-NH-CH2-C4H2S,3.431
C4H2S-CS-O-CS,5.316
CO-C4H2S-C6H4-C4H2S,6.414
CO-C4H2S-C4H2S-C4H2S,7.681
CH2-NH-CS-C4H2S,4.376
NH-O-CS-O,4.499
CH2-NH-CH2-NH,3.097
C6H4-CS-C4H2S-C4H2S,7.063
NH-CO-C6H4-CS,4.613
NH-CO-NH-CO,4.749
C4H2S-C4H2S-O-CS,5.317
NH-CS-NH-O,5.365
CO-O-C4H2S-O,3.8
CH2-O-C4H2S-O,3.483
NH-O-CO-O,3.846
CH2-CO-O-CS,3.3710000000000004
CH2-O-C6H4-O,3.5389999999999997
NH-C6H4-NH-O,4.321000000000001
CH2-CH2-C6H4-C4H2S,3.53
NH-C4H2S-CS-O,5.612
C6H4-C6H4-C4H2S-C4H2S,6.478
NH-C4H2S-C6H4-C4H2S,5.922999999999999
CO-C4H2S-C4H2S-O,4.742
NH-C4H2S-CO-CS,6.611000000000001
NH-C4H2S-C4H2S-C4H2S,6.327999999999999
CH2-CH2-CH2-C6H4,2.9530000000000003
NH-C4H2S-O-CS,4.577
CH2-NH-CS-O,4.284
CH2-CO-O-C4H2S,3.608
CO-C6H4-CS-C6H4,4.4030000000000005
NH-CS-C4H2S-CS,6.135
NH-CO-C6H4-C4H2S,4.599
NH-C4H2S-CS-C4H2S,5.843999999999999
C6H4-C4H2S-O-C4H2S,4.687
C6H4-C6H4-C6H4-CS,4.136
CH2-C4H2S-CH2-C4H2S,3.387
CO-CS-CO-O,4.496
CO-C6H4-C4H2S-C6H4,5.115
CH2-NH-CH2-C6H4,3.139
CH2-C6H4-CO-C4H2S,3.74
CH2-O-CH2-O,3.591
CO-C6H4-C4H2S-C4H2S,4.638
CH2-CO-CS-O,4.131
NH-CO-CS-O,4.814
CH2-CO-CS-CO,5.422999999999999
CH2-NH-C6H4-C4H2S,3.995
NH-CS-C6H4-CS,5.667000000000001
NH-C6H4-C6H4-CH2,3.827
NH-CO-NH-CS,7.2829999999999995
NH-C4H2S-C4H2S-CS,8.073
NH-C6H4-NH-C6H4,4.904
NH-C6H4-NH-C4H2S,5.046
CH2-C6H4-C6H4-C4H2S,3.9160000000000004
CH2-C4H2S-CS-C4H2S,4.155
CO-NH-CO-C6H4,5.702000000000001
CH2-CS-CO-CS,5.233
CH2-CH2-NH-CS,4.209
CH2-C4H2S-C4H2S-O,3.9139999999999997
CH2-CO-NH-C4H2S,3.7939999999999996
CH2-CH2-CO-CS,4.263999999999999
NH-C6H4-C6H4-C4H2S,5.501
CH2-C6H4-C4H2S-CS,4.275
C6H4-O-CS-O,3.681
CH2-O-NH-CO,3.915
NH-C6H4-C4H2S-C6H4,5.415
C6H4-O-C4H2S-O,3.3510000000000004
NH-C6H4-O-C4H2S,3.7769999999999997
CH2-NH-CO-CS,4.521
CH2-NH-C6H4-O,3.878
C6H4-C6H4-C6H4-C6H4,4.178
CH2-CO-NH-C6H4,3.655
CH2-CH2-CH2-CH2,2.613
NH-CO-C6H4-C6H4,4.8580000000000005
NH-CO-CS-C6H4,5.104
CO-C6H4-CS-C4H2S,4.622
CH2-CO-CH2-CO,3.542
CO-O-C6H4-O,3.529
NH-CO-C4H2S-CO,4.798
CH2-C6H4-C4H2S-C4H2S,3.716
CO-C6H4-CO-C4H2S,4.284
CH2-C6H4-CO-CS,3.884
CH2-CH2-C6H4-CS,3.639
NH-C4H2S-C6H4-CS,4.349
CH2-NH-O-C6H4,3.366
CH2-C6H4-C6H4-C6H4,3.406
CH2-O-NH-O,4.226
CH2-CH2-C4H2S-CS,3.84
NH-CO-NH-C4H2S,4.541
CH2-C4H2S-CH2-CS,3.307
NH-CO-NH-O,4.397
CO-C6H4-CS-O,4.601
CH2-CH2-O-NH,3.253
CH2-CO-CH2-C4H2S,3.353
C6H4-O-C6H4-O,3.655
CH2-O-CS-O,3.8539999999999996
NH-CO-C6H4-O,3.967
C4H2S-O-C4H2S-O,3.5860000000000003
CH2-NH-CO-C6H4,3.662
CH2-C4H2S-O-C4H2S,3.34
CH2-CO-O-CO,3.596
CH2-CO-C4H2S-C6H4,4.0169999999999995
CH2-CO-C6H4-CO,3.766
NH-C4H2S-C4H2S-O,4.865
CH2-CH2-C4H2S-C4H2S,3.5380000000000003
CH2-NH-CH2-O,3.2769999999999997
NH-C6H4-C6H4-C6H4,4.2989999999999995
C6H4-CS-O-CS,4.832
CO-C4H2S-CS-O,4.913
NH-C6H4-C4H2S-C4H2S,4.262
CH2-CH2-CH2-NH,2.85
CH2-CO-NH-CO,4.02
NH-CS-C6H4-O,4.223
CO-C4H2S-CO-C4H2S,5.917000000000001
NH-C6H4-O-CS,4.066
CH2-C4H2S-CO-CS,3.945
CH2-CO-O-C6H4,3.247
C4H2S-C4H2S-C4H2S-C4H2S,9.027000000000001
CO-C6H4-O-C6H4,3.891
CH2-CH2-CH2-C4H2S,2.9819999999999998
NH-CO-O-C6H4,4.2410000000000005
CO-C4H2S-O-CS,5.372000000000001
C6H4-C4H2S-C4H2S-O,4.505
CH2-CO-C4H2S-C4H2S,4.592
CH2-CO-CH2-CS,3.6
NH-C6H4-C4H2S-CS,6.197
CH2-C4H2S-C4H2S-C4H2S,4.08
NH-C6H4-CS-O,7.942
NH-C6H4-CO-C4H2S,5.581
CO-C4H2S-CO-CS,5.445
NH-CS-CO-O,5.011
CH2-CS-NH-CS,5.497000000000001
C6H4-C6H4-C4H2S-O,4.582
CH2-CO-C4H2S-CO,3.947
CH2-NH-CO-C4H2S,3.7910000000000004
CH2-C6H4-C6H4-CS,4.106
CH2-C6H4-NH-C4H2S,3.722
C6H4-C4H2S-C6H4-CS,5.3870000000000005
CH2-C6H4-CS-C4H2S,3.822
C6H4-C4H2S-CS-C4H2S,7.187
C4H2S-O-CS-O,3.943
CH2-CS-NH-O,4.258
CH2-C6H4-CH2-C4H2S,3.1919999999999997
CO-O-CS-O,3.758
NH-C6H4-O-C6H4,4.059
CH2-C6H4-CO-C6H4,3.688
NH-CO-O-CO,4.569
CO-C4H2S-CS-C4H2S,5.779
CH2-CS-O-CS,3.89
C4H2S-CS-C4H2S-O,4.512
CO-C4H2S-O-C4H2S,4.395
C6H4-CS-C6H4-O,4.364
NH-O-C6H4-O,3.9019999999999997
CH2-CO-CH2-C6H4,3.5180000000000002
CH2-NH-O-CS,3.568
CH2-NH-C4H2S-O,3.903
CH2-CS-C4H2S-CS,6.041
CO-C6H4-CO-CS,4.34
CH2-CH2-CH2-CO,3.233
CH2-CO-C6H4-C6H4,3.658
CH2-CH2-CS-O,3.397
NH-C4H2S-CS-C6H4,5.966
CH2-NH-O-C4H2S,3.517
C6H4-C6H4-C6H4-O,3.6010000000000004
NH-C6H4-CO-CS,5.141
CH2-CH2-C6H4-C6H4,3.367
CH2-CS-CH2-CS,3.718
NH-C6H4-C6H4-CS,4.447
CH2-NH-O-NH,3.168
