6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Lattice Parameter
(angstrom)"
AgI-AgI-AgI-AgI-AgI-AgI,4.684
AgI-AgI-AgI-AgI-AgI-CdTe,4.7189999999999985
AgI-AgI-AgI-AgI-AgI-InSb,4.725
AgI-AgI-AgI-AgI-CdTe-CdTe,4.7360000000000015
AgI-AgI-AgI-CdTe-CdTe-CdTe,4.726
AgI-AgI-AgI-InSb-InSb-InSb,4.646
AgI-AgI-CdTe-CdTe-CdTe-CdTe,4.724
AgI-AgI-CdTe-CdTe-InSb-InSb,4.729
AgI-AgI-CdTe-InSb-InSb-InSb,4.671
AgI-AgI-InSb-InSb-InSb-InSb,4.609
AgI-CdTe-CdTe-CdTe-InSb-InSb,4.714
AgI-CdTe-CdTe-InSb-InSb-InSb,4.71
AgI-CdTe-InSb-InSb-InSb-InSb,4.676
AgI-InSb-InSb-InSb-InSb-InSb,4.63
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,4.043
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,4.075
AlAs-AlAs-AlAs-AlAs-AlAs-CuBr,4.085
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,4.043
AlAs-AlAs-AlAs-AlAs-AlAs-ZnSe,4.055
AlAs-AlAs-AlAs-AlAs-CdS-CdS,4.099
AlAs-AlAs-AlAs-AlAs-CuBr-CuBr,4.061
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,4.025
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,4.079
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,4.044
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,4.067
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,4.063
AlAs-AlAs-AlAs-CdS-CdS-CdS,4.124
AlAs-AlAs-AlAs-CuBr-CuBr-CuBr,4.082
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,4.017
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,4.025
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,4.08
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,4.0760000000000005
AlAs-AlAs-AlAs-GaAs-CdS-CdS,4.102
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,4.08
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,4.045
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,4.0710000000000015
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,4.0680000000000005
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,4.065
AlAs-AlAs-CdS-CdS-CdS-CdS,4.16
AlAs-AlAs-CuBr-CuBr-CuBr-CuBr,4.079
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,4.012
AlAs-AlAs-CuBr-CuBr-ZnSe-GaAs,4.023
AlAs-AlAs-CuBr-CuBr-ZnSe-ZnSe,4.044
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,4.016
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,4.087
AlAs-AlAs-GaAs-CdS-CdS-CdS,4.129
AlAs-AlAs-GaAs-GaAs-CdS-CdS,4.103
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,4.047
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,4.0710000000000015
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,4.063
AlAs-CdS-CdS-CdS-CdS-CdS,4.197
AlAs-CuBr-CuBr-CuBr-CuBr-CuBr,4.06
AlAs-CuBr-CuBr-CuBr-CuBr-GaAs,3.983
AlAs-CuBr-CuBr-CuBr-GaAs-GaAs,4.032
AlAs-CuBr-CuBr-CuBr-ZnSe-ZnSe,4.056
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,3.997
AlAs-CuBr-CuBr-ZnSe-GaAs-GaAs,4.07
AlAs-CuBr-CuBr-ZnSe-ZnSe-GaAs,4.0760000000000005
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,4.02
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,4.09
AlAs-CuBr-ZnSe-ZnSe-GaAs-GaAs,4.09
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,4.083
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,4.06
AlAs-GaAs-GaAs-CdS-CdS-CdS,4.134
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,4.086
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,4.048
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,4.072
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,4.074
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,4.072
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.065
AlN-AlN-AlN-AlN-AlN-SiC,3.138
AlN-AlN-AlN-AlN-SiC-SiC,3.138
AlN-AlN-AlN-SiC-SiC-SiC,3.134
AlN-AlN-SiC-SiC-SiC-SiC,3.127
AlN-SiC-SiC-SiC-SiC-SiC,3.112
AlP-AlP-AlP-AlP-AlP-AlP,3.886
AlP-AlP-AlP-AlP-AlP-CuBr,3.923
AlP-AlP-AlP-AlP-AlP-GaP,3.883
AlP-AlP-AlP-AlP-AlP-ZnS,3.888
AlP-AlP-AlP-AlP-CuBr-CuBr,3.953
AlP-AlP-AlP-AlP-CuBr-GaP,3.874
AlP-AlP-AlP-AlP-CuBr-ZnSe,3.854
AlP-AlP-AlP-AlP-GaP-GaP,3.883
AlP-AlP-AlP-AlP-ZnS-ZnS,3.891
AlP-AlP-AlP-AlP-ZnSe-GaP,3.916
AlP-AlP-AlP-AlP-ZnSe-ZnSe,3.942
AlP-AlP-AlP-CuBr-CuBr-CuBr,3.883
AlP-AlP-AlP-CuBr-CuBr-GaP,3.887
AlP-AlP-AlP-CuBr-GaP-GaP,3.874
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,3.927
AlP-AlP-AlP-GaP-GaP-GaP,3.883
AlP-AlP-AlP-ZnS-GaP-GaP,3.899
AlP-AlP-AlP-ZnS-ZnS-ZnS,3.882
AlP-AlP-AlP-ZnSe-GaP-GaP,3.917
AlP-AlP-AlP-ZnSe-ZnSe-GaP,3.95
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,3.972
AlP-AlP-CuBr-CuBr-CuBr-CuBr,3.944
AlP-AlP-CuBr-CuBr-CuBr-GaP,3.908
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,3.854
AlP-AlP-CuBr-CuBr-GaP-GaP,3.886
AlP-AlP-CuBr-CuBr-ZnSe-GaP,3.857
AlP-AlP-CuBr-GaP-GaP-GaP,3.869
AlP-AlP-CuBr-ZnSe-GaP-GaP,3.901
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,3.96
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,3.979
AlP-AlP-ZnS-GaP-GaP-GaP,3.9
AlP-AlP-ZnS-ZnS-GaP-GaP,3.897
AlP-AlP-ZnS-ZnS-ZnS-GaP,3.891
AlP-AlP-ZnS-ZnS-ZnS-ZnS,3.873
AlP-AlP-ZnSe-GaP-GaP-GaP,3.917
AlP-AlP-ZnSe-ZnSe-GaP-GaP,3.951
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,3.998
AlP-CuBr-CuBr-CuBr-CuBr-CuBr,4.011
AlP-CuBr-CuBr-CuBr-CuBr-GaP,3.946
AlP-CuBr-CuBr-CuBr-CuBr-ZnSe,3.957
AlP-CuBr-CuBr-CuBr-ZnSe-GaP,3.923
AlP-CuBr-CuBr-CuBr-ZnSe-ZnSe,3.98
AlP-CuBr-CuBr-GaP-GaP-GaP,3.88
AlP-CuBr-CuBr-ZnSe-GaP-GaP,3.859
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,3.986
AlP-CuBr-CuBr-ZnSe-ZnSe-ZnSe,3.996
AlP-CuBr-ZnSe-GaP-GaP-GaP,3.902
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,3.955
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,3.998
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,4.01
AlP-GaP-GaP-GaP-GaP-GaP,3.88
AlP-ZnS-GaP-GaP-GaP-GaP,3.9
AlP-ZnS-ZnS-GaP-GaP-GaP,3.897
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,3.87
AlP-ZnSe-ZnSe-GaP-GaP-GaP,3.95
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,3.981
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,4.009
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.029
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,4.398
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,4.388
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,4.379
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,4.395
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,4.388
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,4.386
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,4.378
AlSb-AlSb-AlSb-AlSb-InAs-InAs,4.375
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,4.4030000000000005
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,4.375
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,4.391
AlSb-AlSb-AlSb-CdSe-CdSe-CdSe,4.397
AlSb-AlSb-AlSb-CdSe-CdSe-InAs,4.575
AlSb-AlSb-AlSb-CdSe-InAs-InAs,4.38
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,4.398
AlSb-AlSb-AlSb-GaSb-CdSe-InAs,4.388
AlSb-AlSb-AlSb-GaSb-GaSb-CdSe,4.395
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,4.375
AlSb-AlSb-AlSb-GaSb-InAs-InAs,4.373
AlSb-AlSb-AlSb-InAs-InAs-InAs,4.37
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,4.398
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,4.384
AlSb-AlSb-AlSb-ZnTe-GaSb-CdSe,4.414
AlSb-AlSb-AlSb-ZnTe-GaSb-GaSb,4.399
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,4.3889999999999985
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,4.396
AlSb-AlSb-AlSb-ZnTe-ZnTe-InAs,4.36
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,4.396
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,4.395
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,4.384
AlSb-AlSb-GaSb-CdSe-InAs-InAs,4.381
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,4.394
AlSb-AlSb-GaSb-GaSb-CdSe-InAs,4.532
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,4.391
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,4.382
AlSb-AlSb-GaSb-GaSb-GaSb-InAs,4.372
AlSb-AlSb-ZnTe-CdSe-CdSe-CdSe,4.398
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,4.414
AlSb-AlSb-ZnTe-GaSb-CdSe-InAs,4.407
AlSb-AlSb-ZnTe-GaSb-GaSb-CdSe,4.412
AlSb-AlSb-ZnTe-GaSb-GaSb-GaSb,4.398
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,4.387
AlSb-AlSb-ZnTe-GaSb-InAs-InAs,4.381
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,4.392
AlSb-AlSb-ZnTe-ZnTe-GaSb-GaSb,4.396
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,4.378
AlSb-AlSb-ZnTe-ZnTe-InAs-InAs,4.353
AlSb-AlSb-ZnTe-ZnTe-ZnTe-CdSe,4.384
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,4.391
AlSb-AlSb-ZnTe-ZnTe-ZnTe-InAs,4.349
AlSb-AlSb-ZnTe-ZnTe-ZnTe-ZnTe,4.379
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,4.402
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,4.38
AlSb-CdSe-InAs-InAs-InAs-InAs,4.368
AlSb-GaSb-CdSe-CdSe-CdSe-InAs,4.381
AlSb-GaSb-CdSe-CdSe-InAs-InAs,4.373
AlSb-GaSb-CdSe-InAs-InAs-InAs,4.374
AlSb-GaSb-GaSb-CdSe-CdSe-CdSe,4.392
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,4.381
AlSb-GaSb-GaSb-CdSe-InAs-InAs,4.376
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,4.379
AlSb-GaSb-GaSb-GaSb-GaSb-CdSe,4.388
AlSb-GaSb-GaSb-GaSb-InAs-InAs,4.369
AlSb-GaSb-GaSb-InAs-InAs-InAs,4.456
AlSb-InAs-InAs-InAs-InAs-InAs,4.3610000000000015
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,4.401
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,4.387
AlSb-ZnTe-CdSe-CdSe-InAs-InAs,4.378
AlSb-ZnTe-CdSe-InAs-InAs-InAs,4.373
AlSb-ZnTe-GaSb-CdSe-CdSe-CdSe,4.423
AlSb-ZnTe-GaSb-GaSb-CdSe-CdSe,4.414
AlSb-ZnTe-GaSb-GaSb-CdSe-InAs,4.404
AlSb-ZnTe-GaSb-GaSb-GaSb-CdSe,4.407
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,4.395
AlSb-ZnTe-GaSb-GaSb-InAs-InAs,4.384
AlSb-ZnTe-GaSb-InAs-InAs-InAs,4.505
AlSb-ZnTe-ZnTe-CdSe-CdSe-CdSe,4.395
AlSb-ZnTe-ZnTe-CdSe-InAs-InAs,4.368
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,4.422
AlSb-ZnTe-ZnTe-GaSb-GaSb-CdSe,4.41
AlSb-ZnTe-ZnTe-GaSb-GaSb-GaSb,4.393
AlSb-ZnTe-ZnTe-GaSb-GaSb-InAs,4.382
AlSb-ZnTe-ZnTe-GaSb-InAs-InAs,4.374
AlSb-ZnTe-ZnTe-ZnTe-CdSe-CdSe,4.3889999999999985
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,4.371
AlSb-ZnTe-ZnTe-ZnTe-GaSb-CdSe,4.4110000000000005
AlSb-ZnTe-ZnTe-ZnTe-GaSb-GaSb,4.39
AlSb-ZnTe-ZnTe-ZnTe-InAs-InAs,4.342
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,4.388
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,4.353
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,4.375
BAs-BAs-BAs-BAs-BAs-BAs,3.39
BeO-BeO-BeO-BeO-BeO-BeO,2.707
BeS-BAs-BAs-BAs-BAs-BAs,3.397
BeS-BeS-BAs-BAs-BAs-BAs,3.409
BeS-BeS-BeS-BeS-BeS-BAs,3.435
BeS-BeS-BeS-BeS-BeS-BeS,3.438
BeSe-BeSe-BeSe-BeSe-BeSe-InN,3.673
BeSe-BeSe-BeSe-BeSe-CuCl-CuCl,3.708
BeSe-BeSe-BeSe-BeSe-InN-InN,3.5980000000000003
BeSe-BeSe-BeSe-InN-InN-InN,3.579
BeSe-InN-InN-InN-InN-InN,3.534
BeTe-AlAs-AlAs-AlAs-AlAs-AlAs,4.015
BeTe-AlAs-AlAs-AlAs-AlAs-CuBr,4.052
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,4.016
BeTe-AlAs-AlAs-AlAs-AlAs-ZnSe,4.033
BeTe-AlAs-AlAs-AlAs-CuBr-CuBr,4.0280000000000005
BeTe-AlAs-AlAs-AlAs-CuBr-GaAs,4.0280000000000005
BeTe-AlAs-AlAs-AlAs-CuBr-ZnSe,4.03
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,4.019
BeTe-AlAs-AlAs-CuBr-CuBr-CuBr,4.0360000000000005
BeTe-AlAs-AlAs-CuBr-CuBr-GaAs,4.012
BeTe-AlAs-AlAs-CuBr-GaAs-GaAs,4.004
BeTe-AlAs-AlAs-CuBr-ZnSe-GaAs,4.039
BeTe-AlAs-AlAs-CuBr-ZnSe-ZnSe,4.033
BeTe-AlAs-AlAs-GaAs-GaAs-GaAs,4.021
BeTe-AlAs-AlAs-ZnSe-GaAs-GaAs,4.04
BeTe-AlAs-AlAs-ZnSe-ZnSe-GaAs,4.042
BeTe-AlAs-AlAs-ZnSe-ZnSe-ZnSe,4.042
BeTe-AlAs-CuBr-CuBr-CuBr-CuBr,4.064
BeTe-AlAs-CuBr-CuBr-CuBr-GaAs,4.034
BeTe-AlAs-CuBr-CuBr-CuBr-ZnSe,4.017
BeTe-AlAs-CuBr-CuBr-GaAs-GaAs,3.99
BeTe-AlAs-CuBr-CuBr-ZnSe-GaAs,3.998
BeTe-AlAs-CuBr-CuBr-ZnSe-ZnSe,3.997
BeTe-AlAs-CuBr-GaAs-GaAs-GaAs,4.001
BeTe-AlAs-CuBr-ZnSe-ZnSe-GaAs,4.0360000000000005
BeTe-AlAs-CuBr-ZnSe-ZnSe-ZnSe,4.026
BeTe-AlAs-GaAs-GaAs-GaAs-GaAs,4.024
BeTe-AlAs-ZnSe-ZnSe-GaAs-GaAs,4.046
BeTe-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,4.047
BeTe-AlP-AlP-AlP-AlP-AlP,3.876
BeTe-AlP-AlP-AlP-AlP-CuBr,3.901
BeTe-AlP-AlP-AlP-AlP-GaP,3.877
BeTe-AlP-AlP-AlP-AlP-ZnSe,3.923
BeTe-AlP-AlP-AlP-CuBr-CuBr,3.949
BeTe-AlP-AlP-AlP-CuBr-GaP,3.884
BeTe-AlP-AlP-AlP-CuBr-ZnSe,3.901
BeTe-AlP-AlP-AlP-ZnSe-GaP,3.912
BeTe-AlP-AlP-CuBr-CuBr-CuBr,3.992
BeTe-AlP-AlP-CuBr-CuBr-ZnSe,3.924
BeTe-AlP-AlP-CuBr-GaP-GaP,3.877
BeTe-AlP-AlP-CuBr-ZnSe-GaP,3.908
BeTe-AlP-AlP-CuBr-ZnSe-ZnSe,3.946
BeTe-AlP-AlP-GaP-GaP-GaP,3.876
BeTe-AlP-AlP-ZnSe-ZnSe-GaP,3.946
BeTe-AlP-AlP-ZnSe-ZnSe-ZnSe,3.979
BeTe-AlP-CuBr-CuBr-CuBr-GaP,3.942
BeTe-AlP-CuBr-CuBr-CuBr-ZnSe,3.958
BeTe-AlP-CuBr-CuBr-GaP-GaP,3.894
BeTe-AlP-CuBr-CuBr-ZnSe-GaP,3.937
BeTe-AlP-CuBr-CuBr-ZnSe-ZnSe,3.977
BeTe-AlP-CuBr-ZnSe-GaP-GaP,3.911
BeTe-AlP-CuBr-ZnSe-ZnSe-ZnSe,3.985
BeTe-AlP-ZnSe-GaP-GaP-GaP,3.917
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,3.983
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,4.011
BeTe-BeTe-AlAs-AlAs-AlAs-AlAs,4.016
BeTe-BeTe-AlAs-AlAs-AlAs-GaAs,4.018
BeTe-BeTe-AlAs-AlAs-AlAs-ZnSe,4.027
BeTe-BeTe-AlAs-AlAs-CuBr-CuBr,4.03
BeTe-BeTe-AlAs-AlAs-CuBr-GaAs,4.041
BeTe-BeTe-AlAs-AlAs-CuBr-ZnSe,4.026
BeTe-BeTe-AlAs-AlAs-GaAs-GaAs,4.021
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,4.029
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,4.03
BeTe-BeTe-AlAs-CuBr-CuBr-GaAs,4.032
BeTe-BeTe-AlAs-CuBr-GaAs-GaAs,4.02
BeTe-BeTe-AlAs-CuBr-ZnSe-GaAs,4.016
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,4.0139999999999985
BeTe-BeTe-AlAs-GaAs-GaAs-GaAs,4.021
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,4.042
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,4.038
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,4.0360000000000005
BeTe-BeTe-AlP-AlP-AlP-CuBr,3.931
BeTe-BeTe-AlP-AlP-AlP-GaP,3.903
BeTe-BeTe-AlP-AlP-AlP-ZnSe,3.936
BeTe-BeTe-AlP-AlP-CuBr-GaP,3.931
BeTe-BeTe-AlP-AlP-CuBr-ZnSe,3.942
BeTe-BeTe-AlP-AlP-GaP-GaP,3.903
BeTe-BeTe-AlP-AlP-ZnSe-GaP,3.937
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,3.969
BeTe-BeTe-AlP-CuBr-CuBr-CuBr,4.023
BeTe-BeTe-AlP-CuBr-CuBr-GaP,3.954
BeTe-BeTe-AlP-CuBr-CuBr-ZnSe,3.974
BeTe-BeTe-AlP-CuBr-GaP-GaP,3.927
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,3.942
BeTe-BeTe-AlP-GaP-GaP-GaP,3.902
BeTe-BeTe-AlP-ZnSe-GaP-GaP,3.943
BeTe-BeTe-AlP-ZnSe-ZnSe-GaP,3.972
BeTe-BeTe-BeTe-AlAs-AlAs-AlAs,4.013
BeTe-BeTe-BeTe-AlAs-AlAs-GaAs,4.015
BeTe-BeTe-BeTe-AlAs-CuBr-CuBr,4.003
