6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"GGA
BeTe-BeTe-AlP-CuBr-CuBr-ZnSe,0.01
BeTe-BeTe-AlP-CuBr-GaP-GaP,0.0
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,0.0
BeTe-BeTe-AlP-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-AlP-ZnSe-GaP-GaP,0.02
BeTe-BeTe-AlP-ZnSe-ZnSe-GaP,0.01
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,0.48
BeTe-BeTe-BeTe-AlAs-AlAs-AlAs,0.0
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,0.0
BeTe-BeTe-BeTe-AlAs-CuBr-GaAs,0.01
BeTe-BeTe-BeTe-AlAs-CuBr-ZnSe,0.0
BeTe-BeTe-BeTe-AlAs-GaAs-GaAs,0.0
BeTe-BeTe-BeTe-AlAs-ZnSe-GaAs,0.05
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,0.05
BeTe-BeTe-BeTe-AlP-AlP-AlP,0.0
BeTe-BeTe-BeTe-AlP-AlP-GaP,0.01
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,0.02
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,0.01
BeTe-BeTe-BeTe-AlP-CuBr-GaP,0.01
BeTe-BeTe-BeTe-AlP-CuBr-ZnSe,0.01
BeTe-BeTe-BeTe-AlP-GaP-GaP,0.01
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,0.02
BeTe-BeTe-BeTe-BeTe-AlAs-GaAs,0.0
BeTe-BeTe-BeTe-BeTe-AlP-CuBr,0.01
BeTe-BeTe-BeTe-BeTe-AlP-GaP,0.01
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,0.46
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,0.61
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,2.25
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,0.0
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,0.47
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,0.65
BeTe-BeTe-BeTe-BeTe-BeTe-ZnSe,1.48
BeTe-BeTe-BeTe-BeTe-CuBr-CuBr,0.01
BeTe-BeTe-BeTe-BeTe-CuBr-GaAs,0.0
BeTe-BeTe-BeTe-BeTe-CuBr-GaP,0.01
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,0.01
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,0.01
BeTe-BeTe-BeTe-BeTe-GaP-GaP,0.0
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,0.08
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,0.23
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,1.21
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,0.0
BeTe-BeTe-BeTe-CuBr-CuBr-GaP,0.01
BeTe-BeTe-BeTe-CuBr-CuBr-ZnSe,0.01
BeTe-BeTe-BeTe-CuBr-GaAs-GaAs,0.0
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,0.0
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,0.0
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-BeTe-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-BeTe-GaP-GaP-GaP,0.0
BeTe-BeTe-BeTe-ZnSe-GaAs-GaAs,0.01
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,0.01
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,0.07
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,0.95
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,0.0
BeTe-BeTe-CuBr-CuBr-CuBr-GaAs,0.0
BeTe-BeTe-CuBr-CuBr-CuBr-GaP,0.01
BeTe-BeTe-CuBr-CuBr-CuBr-ZnSe,0.0
BeTe-BeTe-CuBr-CuBr-GaAs-GaAs,0.01
BeTe-BeTe-CuBr-CuBr-GaP-GaP,0.0
BeTe-BeTe-CuBr-CuBr-ZnSe-GaAs,0.0
BeTe-BeTe-CuBr-CuBr-ZnSe-GaP,0.0
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-CuBr-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-CuBr-ZnSe-GaAs-GaAs,0.01
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,0.0
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,0.0
BeTe-BeTe-GaAs-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-ZnSe-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-ZnSe-GaP-GaP-GaP,0.01
BeTe-BeTe-ZnSe-ZnSe-GaAs-GaAs,0.01
BeTe-BeTe-ZnSe-ZnSe-GaP-GaP,0.01
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,0.01
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaP,0.01
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,0.0
BeTe-CuBr-CuBr-CuBr-CuBr-GaP,0.0
BeTe-CuBr-CuBr-CuBr-GaAs-GaAs,0.0
BeTe-CuBr-CuBr-CuBr-GaP-GaP,0.0
BeTe-CuBr-CuBr-CuBr-ZnSe-GaAs,0.0
BeTe-CuBr-CuBr-CuBr-ZnSe-GaP,0.01
BeTe-CuBr-CuBr-CuBr-ZnSe-ZnSe,0.0
BeTe-CuBr-CuBr-GaAs-GaAs-GaAs,0.0
BeTe-CuBr-CuBr-GaP-GaP-GaP,0.0
BeTe-CuBr-CuBr-ZnSe-GaAs-GaAs,0.0
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.01
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaP,0.0
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.0
BeTe-CuBr-GaAs-GaAs-GaAs-GaAs,0.0
BeTe-CuBr-GaP-GaP-GaP-GaP,0.01
BeTe-CuBr-ZnSe-GaAs-GaAs-GaAs,0.0
BeTe-CuBr-ZnSe-ZnSe-GaAs-GaAs,0.01
BeTe-CuBr-ZnSe-ZnSe-GaP-GaP,0.0
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.01
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaP,0.0
BeTe-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.01
BeTe-GaP-GaP-GaP-GaP-GaP,0.07
BeTe-ZnSe-GaAs-GaAs-GaAs-GaAs,0.0
BeTe-ZnSe-GaP-GaP-GaP-GaP,0.01
BeTe-ZnSe-ZnSe-GaP-GaP-GaP,0.01
BeTe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.0
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.01
BP-BP-BP-BP-BP-BP,1.1
BP-BP-BP-BP-BP-GaN,0.0
BP-BP-BP-BP-BP-ZnO,0.04
BP-BP-BP-BP-ZnO-GaN,0.0
BP-BP-BP-BP-ZnO-ZnO,0.01
BP-BP-BP-ZnO-GaN-GaN,0.0
BP-BP-BP-ZnO-ZnO-ZnO,0.01
BP-BP-GaN-GaN-GaN-GaN,0.0
BP-BP-ZnO-GaN-GaN-GaN,0.01
BP-BP-ZnO-ZnO-GaN-GaN,0.03
BP-BP-ZnO-ZnO-ZnO-ZnO,0.0
BP-ZnO-GaN-GaN-GaN-GaN,0.01
BP-ZnO-ZnO-GaN-GaN-GaN,0.0
BP-ZnO-ZnO-ZnO-GaN-GaN,0.0
BP-ZnO-ZnO-ZnO-ZnO-ZnO,0.03
CdS-CdS-CdS-CdS-CdS-CdS,1.09
CdS-CdS-CdS-CdS-InP-InP,0.0
CdS-CdS-InP-InP-InP-InP,0.0
CdS-InP-InP-InP-InP-InP,0.0
CdSe-CdSe-CdSe-CdSe-CdSe-CdSe,0.53
CdSe-CdSe-CdSe-CdSe-CdSe-InP,0.0
CdSe-CdSe-CdSe-CdSe-InAs-InAs,0.02
CdSe-CdSe-CdSe-CdSe-InP-InP,0.01
CdSe-CdSe-CdSe-InP-InP-InP,0.0
CdSe-CdSe-InAs-InAs-InAs-InAs,0.01
CdSe-CdSe-InP-InP-InP-InP,0.01
CdSe-InAs-InAs-InAs-InAs-InAs,0.03
CdTe-CdTe-CdTe-CdTe-CdTe-CdTe,0.61
CdTe-CdTe-CdTe-InSb-InSb-InSb,0.0
CdTe-InSb-InSb-InSb-InSb-InSb,0.01
CuBr-CuBr-CuBr-CuBr-CuBr-GaAs,0.01
CuBr-CuBr-CuBr-CuBr-CuBr-ZnSe,0.02
CuBr-CuBr-CuBr-CuBr-GaAs-GaAs,0.0
CuBr-CuBr-CuBr-CuBr-ZnSe-GaAs,0.0
CuBr-CuBr-CuBr-CuBr-ZnSe-GaP,0.0
CuBr-CuBr-CuBr-CuBr-ZnSe-ZnSe,0.0
CuBr-CuBr-CuBr-GaP-GaP-GaP,0.0
CuBr-CuBr-CuBr-ZnSe-GaAs-GaAs,0.0
CuBr-CuBr-CuBr-ZnSe-GaP-GaP,0.0
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.01
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaP,0.0
CuBr-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.0
CuBr-CuBr-GaAs-GaAs-GaAs-GaAs,0.01
CuBr-CuBr-GaP-GaP-GaP-GaP,0.0
CuBr-CuBr-ZnSe-GaP-GaP-GaP,0.01
CuBr-CuBr-ZnSe-ZnSe-GaP-GaP,0.01
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.01
CuBr-GaAs-GaAs-GaAs-GaAs-GaAs,0.01
CuBr-ZnSe-ZnSe-GaP-GaP-GaP,0.01
CuBr-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.0
CuBr-ZnSe-ZnSe-ZnSe-GaP-GaP,0.0
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.0
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.03
CuCl-CuCl-CuCl-CuCl-CuCl-CuCl,0.6
CuCl-CuCl-CuCl-CuCl-CuCl-ZnS,0.02
CuCl-CuCl-CuCl-CuCl-ZnS-ZnS,0.01
CuCl-CuCl-ZnS-ZnS-ZnS-ZnS,0.01
CuCl-ZnS-ZnS-ZnS-ZnS-ZnS,0.0
CuI-CdS-CdS-CdS-CdS-CdS,0.0
CuI-CdS-CdS-CdS-InP-InP,0.0
CuI-CdS-InP-InP-InP-InP,0.01
CuI-CdSe-CdSe-CdSe-CdSe-CdSe,0.01
CuI-CdSe-CdSe-CdSe-CdSe-InP,0.0
CuI-CdSe-CdSe-CdSe-InP-InP,0.01
CuI-CdSe-CdSe-InP-InP-InP,0.0
CuI-CdSe-InP-InP-InP-InP,0.01
CuI-CuI-CdS-CdS-CdS-InP,0.0
CuI-CuI-CdS-CdS-InP-InP,0.0
CuI-CuI-CdS-InP-InP-InP,0.01
CuI-CuI-CdSe-CdSe-CdSe-CdSe,0.01
CuI-CuI-CdSe-CdSe-CdSe-InP,0.0
CuI-CuI-CdSe-InP-InP-InP,0.0
CuI-CuI-CuI-CdS-CdS-CdS,0.0
CuI-CuI-CuI-CdS-CdS-InP,0.01
CuI-CuI-CuI-CdS-InP-InP,0.01
CuI-CuI-CuI-CdSe-CdSe-CdSe,0.01
CuI-CuI-CuI-CdSe-CdSe-InP,0.0
CuI-CuI-CuI-CdSe-InP-InP,0.01
CuI-CuI-CuI-CuI-CdS-CdS,0.0
CuI-CuI-CuI-CuI-CdS-InP,0.01
CuI-CuI-CuI-CuI-CdSe-CdSe,0.0
CuI-CuI-CuI-CuI-CdSe-InP,0.01
CuI-CuI-CuI-CuI-CuI-CdS,0.0
CuI-CuI-CuI-CuI-CuI-CdSe,0.0
CuI-CuI-CuI-CuI-CuI-CuI,1.19
CuI-CuI-CuI-CuI-CuI-InP,0.01
CuI-CuI-CuI-CuI-CuI-ZnTe,0.0
CuI-CuI-CuI-CuI-InP-InP,0.0
CuI-CuI-CuI-CuI-ZnTe-CdSe,0.01
CuI-CuI-CuI-CuI-ZnTe-InP,0.01
CuI-CuI-CuI-CuI-ZnTe-ZnTe,0.01
CuI-CuI-CuI-InP-InP-InP,0.0
CuI-CuI-CuI-ZnTe-InP-InP,0.01
CuI-CuI-CuI-ZnTe-ZnTe-CdSe,0.0
CuI-CuI-CuI-ZnTe-ZnTe-InP,0.0
CuI-CuI-CuI-ZnTe-ZnTe-ZnTe,0.0
CuI-CuI-InP-InP-InP-InP,0.01
CuI-CuI-ZnTe-CdSe-CdSe-CdSe,0.0
CuI-CuI-ZnTe-CdSe-CdSe-InP,0.0
CuI-CuI-ZnTe-CdSe-InP-InP,0.0
CuI-CuI-ZnTe-ZnTe-CdSe-CdSe,0.01
CuI-CuI-ZnTe-ZnTe-CdSe-InP,0.01
CuI-CuI-ZnTe-ZnTe-InP-InP,0.0
CuI-CuI-ZnTe-ZnTe-ZnTe-CdSe,0.01
CuI-CuI-ZnTe-ZnTe-ZnTe-InP,0.01
CuI-InP-InP-InP-InP-InP,0.0
CuI-ZnTe-CdSe-CdSe-CdSe-CdSe,0.0
CuI-ZnTe-CdSe-CdSe-CdSe-InP,0.01
CuI-ZnTe-InP-InP-InP-InP,0.0
CuI-ZnTe-ZnTe-CdSe-CdSe-CdSe,0.0
CuI-ZnTe-ZnTe-CdSe-CdSe-InP,0.0
CuI-ZnTe-ZnTe-CdSe-InP-InP,0.01
CuI-ZnTe-ZnTe-ZnTe-CdSe-CdSe,0.0
CuI-ZnTe-ZnTe-ZnTe-CdSe-InP,0.0
CuI-ZnTe-ZnTe-ZnTe-InP-InP,0.01
CuI-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,0.01
CuI-ZnTe-ZnTe-ZnTe-ZnTe-InP,0.01
CuI-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,0.0
GaAs-CdS-CdS-CdS-CdS-CdS,0.0
GaAs-GaAs-CdS-CdS-CdS-CdS,0.01
GaAs-GaAs-GaAs-CdS-CdS-CdS,0.0
GaAs-GaAs-GaAs-GaAs-CdS-CdS,0.01
GaAs-GaAs-GaAs-GaAs-GaAs-CdS,0.0
GaAs-GaAs-GaAs-GaAs-GaAs-GaAs,0.16
GaN-GaN-GaN-GaN-GaN-GaN,1.75
GaP-GaP-GaP-GaP-GaP-GaP,1.29
GaSb-CdSe-CdSe-CdSe-CdSe-CdSe,0.01
GaSb-CdSe-CdSe-CdSe-InAs-InAs,0.0
GaSb-CdSe-CdSe-InAs-InAs-InAs,0.0
GaSb-GaSb-CdSe-CdSe-CdSe-CdSe,0.01
GaSb-GaSb-CdSe-CdSe-CdSe-InAs,0.01
GaSb-GaSb-CdSe-InAs-InAs-InAs,0.0
GaSb-GaSb-GaSb-CdSe-CdSe-CdSe,0.01
GaSb-GaSb-GaSb-CdSe-CdSe-InAs,0.0
GaSb-GaSb-GaSb-GaSb-CdSe-CdSe,0.0
GaSb-GaSb-GaSb-GaSb-CdSe-InAs,0.0
GaSb-GaSb-GaSb-GaSb-GaSb-CdSe,0.0
GaSb-GaSb-GaSb-GaSb-GaSb-InAs,0.0
GaSb-GaSb-InAs-InAs-InAs-InAs,0.01
InAs-InAs-InAs-InAs-InAs-InAs,0.01
InN-InN-InN-InN-InN-InN,0.02
InP-InP-InP-InP-InP-InP,0.26
MgS-AlAs-AlAs-AlAs-AlAs-AlAs,0.01
MgS-AlAs-AlAs-AlAs-AlAs-CuBr,0.01
MgS-AlAs-AlAs-AlAs-AlAs-ZnSe,0.01
MgS-AlAs-AlAs-AlAs-CuBr-CuBr,0.0
MgS-AlAs-AlAs-AlAs-CuBr-GaAs,0.0
MgS-AlAs-AlAs-AlAs-ZnSe-GaAs,0.0
MgS-AlAs-AlAs-AlAs-ZnSe-ZnSe,0.0
MgS-AlAs-AlAs-CuBr-CuBr-GaAs,0.0
MgS-AlAs-AlAs-CuBr-CuBr-ZnSe,0.01
MgS-AlAs-AlAs-CuBr-GaAs-GaAs,0.0
MgS-AlAs-AlAs-CuBr-ZnSe-GaAs,0.0
MgS-AlAs-AlAs-CuBr-ZnSe-ZnSe,0.0
MgS-AlAs-AlAs-ZnSe-GaAs-GaAs,0.0
MgS-AlAs-AlAs-ZnSe-ZnSe-ZnSe,0.01
MgS-AlAs-CuBr-CuBr-CuBr-CuBr,0.01
MgS-AlAs-CuBr-CuBr-CuBr-ZnSe,0.03
MgS-AlAs-CuBr-CuBr-GaAs-GaAs,0.0
MgS-AlAs-CuBr-CuBr-ZnSe-GaAs,0.01
MgS-AlAs-CuBr-GaAs-GaAs-GaAs,0.01
MgS-AlAs-CuBr-ZnSe-GaAs-GaAs,0.0
MgS-AlAs-CuBr-ZnSe-ZnSe-GaAs,0.03
MgS-AlAs-CuBr-ZnSe-ZnSe-ZnSe,0.0
MgS-AlAs-GaAs-GaAs-GaAs-GaAs,0.02
MgS-AlAs-ZnSe-ZnSe-GaAs-GaAs,0.0
MgS-AlAs-ZnSe-ZnSe-ZnSe-GaAs,0.02
MgS-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,0.01
MgS-AlP-AlP-AlP-AlP-AlP,0.02
MgS-AlP-AlP-AlP-AlP-CuBr,0.0
MgS-AlP-AlP-AlP-AlP-GaP,0.01
MgS-AlP-AlP-AlP-AlP-ZnSe,0.01
MgS-AlP-AlP-AlP-CuBr-CuBr,0.0
MgS-AlP-AlP-AlP-CuBr-GaP,0.01
MgS-AlP-AlP-AlP-CuBr-ZnSe,0.02
MgS-AlP-AlP-AlP-ZnSe-GaP,0.01
MgS-AlP-AlP-AlP-ZnSe-ZnSe,0.02
MgS-AlP-AlP-CuBr-CuBr-CuBr,0.01
MgS-AlP-AlP-CuBr-CuBr-GaP,0.0
MgS-AlP-AlP-CuBr-CuBr-ZnSe,0.01
MgS-AlP-AlP-CuBr-GaP-GaP,0.0
MgS-AlP-AlP-CuBr-ZnSe-GaP,0.0
MgS-AlP-AlP-CuBr-ZnSe-ZnSe,0.01
MgS-AlP-AlP-GaP-GaP-GaP,0.02
MgS-AlP-AlP-ZnSe-GaP-GaP,0.0
MgS-AlP-AlP-ZnSe-ZnSe-GaP,0.0
MgS-AlP-AlP-ZnSe-ZnSe-ZnSe,0.01
MgS-AlP-CuBr-CuBr-CuBr-CuBr,0.0
MgS-AlP-CuBr-CuBr-CuBr-GaP,0.01
MgS-AlP-CuBr-CuBr-CuBr-ZnSe,0.0
MgS-AlP-CuBr-CuBr-ZnSe-GaP,0.0
MgS-AlP-CuBr-CuBr-ZnSe-ZnSe,0.01
MgS-AlP-CuBr-GaP-GaP-GaP,0.0
MgS-AlP-CuBr-ZnSe-GaP-GaP,0.01
MgS-AlP-CuBr-ZnSe-ZnSe-ZnSe,0.03
MgS-AlP-GaP-GaP-GaP-GaP,0.0
MgS-AlP-ZnSe-ZnSe-GaP-GaP,0.0
MgS-AlP-ZnSe-ZnSe-ZnSe-GaP,0.0
MgS-BeTe-AlAs-AlAs-AlAs-AlAs,0.01
MgS-BeTe-AlAs-AlAs-AlAs-CuBr,0.01
MgS-BeTe-AlAs-AlAs-AlAs-GaAs,0.0
MgS-BeTe-AlAs-AlAs-AlAs-ZnSe,0.0
MgS-BeTe-AlAs-AlAs-CuBr-GaAs,0.01
MgS-BeTe-AlAs-AlAs-CuBr-ZnSe,0.01
MgS-BeTe-AlAs-AlAs-GaAs-GaAs,0.0
MgS-BeTe-AlAs-AlAs-ZnSe-GaAs,0.01
MgS-BeTe-AlAs-AlAs-ZnSe-ZnSe,0.02
MgS-BeTe-AlAs-CuBr-CuBr-CuBr,0.0
MgS-BeTe-AlAs-CuBr-CuBr-GaAs,0.01
MgS-BeTe-AlAs-CuBr-CuBr-ZnSe,0.01
MgS-BeTe-AlAs-CuBr-GaAs-GaAs,0.01
MgS-BeTe-AlAs-CuBr-ZnSe-GaAs,0.0
MgS-BeTe-AlAs-CuBr-ZnSe-ZnSe,0.01
MgS-BeTe-AlAs-GaAs-GaAs-GaAs,0.0
MgS-BeTe-AlAs-ZnSe-GaAs-GaAs,0.0
MgS-BeTe-AlAs-ZnSe-ZnSe-GaAs,0.0
MgS-BeTe-AlP-AlP-AlP-AlP,0.51
MgS-BeTe-AlP-AlP-AlP-CuBr,0.0
MgS-BeTe-AlP-AlP-AlP-GaP,0.35
MgS-BeTe-AlP-AlP-CuBr-ZnSe,0.0
MgS-BeTe-AlP-AlP-GaP-GaP,0.31
MgS-BeTe-AlP-CuBr-CuBr-CuBr,0.01
MgS-BeTe-AlP-CuBr-CuBr-GaP,0.01
MgS-BeTe-AlP-CuBr-CuBr-ZnSe,0.0
MgS-BeTe-AlP-CuBr-GaP-GaP,0.0
MgS-BeTe-AlP-CuBr-ZnSe-GaP,0.0
MgS-BeTe-AlP-CuBr-ZnSe-ZnSe,0.01
MgS-BeTe-AlP-GaP-GaP-GaP,0.11
MgS-BeTe-AlP-ZnSe-GaP-GaP,0.0
MgS-BeTe-AlP-ZnSe-ZnSe-GaP,0.01
MgS-BeTe-AlP-ZnSe-ZnSe-ZnSe,0.12
MgS-BeTe-BeTe-AlAs-AlAs-AlAs,0.01
MgS-BeTe-BeTe-AlAs-AlAs-CuBr,0.0
MgS-BeTe-BeTe-AlAs-AlAs-GaAs,0.0
